parameter,piece_id,old_path,new_path
collar.fc_angle,left_ftorso,"[[1.7763568394002505e-15, 49.61431096706053], [1.7763568394002505e-15, 13.885412591851484], [0.0, 13.885412591851484], [0.8877907862406094, 9.285510299852383], [3.1535779792935283, 5.1850856911234615], [6.575570542035097, 1.985516895705274], [10.818800000000001, 0.0], [10.818800000000001, 0.0], [16.769427733399887, 2.3653595829067626], [16.769427733399887, 2.3653595829067626], [18.193766149674005, 10.150083654252676], [19.989365178927315, 16.025819745686412], [23.041727197877094, 19.68169575573033], [28.23635458324059, 20.80683958290677], [28.23635458324059, 20.80683958290677], [31.651546335382854, 49.61431096706053], [31.651546335382854, 49.61431096706053], [1.7763568394002505e-15, 49.61431096706053]]","[[1.7763568394002505e-15, 49.61431096706053], [1.7763568394002505e-15, 13.885412591851484], [0.0, 13.885412591851484], [0.1334375479883505, 8.950557511219344], [2.2819388559631424, 4.5059492747507335], [6.066345194349086, 1.3359541782185218], [10.818800000000001, 0.0], [10.818800000000001, 0.0], [16.769427733399887, 2.3653595829067626], [16.769427733399887, 2.3653595829067626], [18.193766149674005, 10.150083654252676], [19.989365178927315, 16.025819745686412], [23.041727197877094, 19.68169575573033], [28.23635458324059, 20.80683958290677], [28.23635458324059, 20.80683958290677], [31.651546335382854, 49.61431096706053], [31.651546335382854, 49.61431096706053], [1.7763568394002505e-15, 49.61431096706053]]"
collar.fc_angle,right_ftorso,"[[31.65154633538285, 49.61431096706055], [0.0, 49.61431096706055], [0.0, 49.61431096706055], [3.4151917521422597, 20.806839582906782], [3.4151917521422597, 20.806839582906818], [8.609819137505756, 19.681695755730363], [11.662181156455535, 16.025819745686434], [13.457780185708849, 10.15008365425269], [14.882118601982963, 2.365359582906777], [14.882118601982963, 2.365359582906777], [20.83274633538285, 1.4210854715202004e-14], [20.832746335382797, 0.0], [25.075975793347716, 1.985516895705267], [28.497968356089288, 5.185085691123433], [30.763755549142225, 9.285510299852348], [31.65154633538285, 13.885412591851448], [31.65154633538285, 13.885412591851498], [31.65154633538285, 49.61431096706055]]","[[31.65154633538285, 49.61431096706053], [0.0, 49.61431096706053], [0.0, 49.61431096706053], [3.4151917521422597, 20.80683958290677], [3.4151917521422597, 20.806839582906804], [8.609819137505756, 19.68169575573035], [11.662181156455535, 16.02581974568642], [13.457780185708849, 10.150083654252676], [14.882118601982963, 2.3653595829067626], [14.882118601982963, 2.3653595829067626], [20.83274633538285, 0.0], [20.832746335382858, 0.0], [25.58520114103377, 1.3359541782185218], [29.369607479419713, 4.505949274750741], [31.518108787394503, 8.950557511219351], [31.65154633538285, 13.885412591851491], [31.65154633538285, 13.885412591851484], [31.65154633538285, 49.61431096706053]]"
