avg_child_fitness,avg_elite,avg_mut,avg_off,avg_rand,best_fit,delta_best,generation,mean_mutant_gain,mean_offspring_gain
0.6851771020506662,0.6851771020506662,0.0,0.0,0.6851771020506662,0.7564016574206859,0.0,0,0.0,0.0
0.7263896921828741,0.7385748365703156,0.0,0.0,0.702019403407991,0.7564016574206859,0.0,1,0.0,0.0
0.7317661144838432,0.7385748365703156,0.0,0.7564016574206859,0.7099368226652841,0.7564016574206859,0.0,2,0.0,0.0
0.7355721739219597,0.7437477158517054,0.0,0.7564016574206859,0.7122779288962263,0.7564016574206859,0.0,3,0.0,0.0
0.7363582833543806,0.7487405825694898,0.0,0.7564016574206859,0.6982314355466249,0.7564016574206859,0.0,4,0.0,0.0
0.73103492811491,0.7549244929881117,0.0,0.0,0.6832557983685064,0.7564016574206859,0.0,5,0.0,0.0
0.7428169938825756,0.7549244929881117,0.0,0.7564016574206859,0.7140737744921329,0.7564016574206859,0.0,6,0.0,0.0
0.7471427421556694,0.7564016574206859,0.0,0.0,0.7286249116256366,0.7602358411871457,0.003834183766459831,7,0.0,0.0
0.7318856156923428,0.7570406880484292,0.0,0.7602358411871457,0.6721253958152357,0.7602358411871457,0.0,8,0.0,0.0
0.7373489493979257,0.7576797186761725,0.0,0.7564016574206859,0.6903365081671785,0.7602358411871457,0.0,9,0.0,0.0
0.7331023155624428,0.7576797186761725,0.0,0.7564016574206859,0.6761810620489025,0.7724746822091765,0.012238841022030766,10,0.0,0.0
