Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5947732601649701,0.47156034434796074,0.6666666666666666,0.0,0.11764705882352941,-0.008357946975232474,-0.0003035767061886352
2,0.5947732601649701,0.48167321405960106,0.3333333333333333,0.0,0.35294117647058826,0.002434594546472585,-0.04542609618271087
3,0.5947732601649702,0.49857562436068303,0.3333333333333333,1.1102230246251565e-16,0.11764705882352941,-0.010261051411717218,0.0
4,0.5947732601649702,0.48228534980000115,0.6666666666666666,0.0,0.11764705882352941,-0.027548040656101728,0.0
5,0.6414963505764056,0.4770662247294343,0.6666666666666666,0.04672309041143541,0.17647058823529413,-0.010191742599115072,0.03408130669138859
6,0.6414963505764056,0.4751718066078805,1.0,0.0,0.11764705882352941,-0.02875275516976092,0.08255489099013236
7,0.6414963505764056,0.4843222367345303,0.6666666666666666,0.0,0.17647058823529413,-0.02253816724732684,0.015819135069866014
8,0.6414963505764056,0.49437386095602387,1.0,0.0,0.17647058823529413,-0.02539889707048503,-0.0002280195876915858
9,0.6414963505764056,0.48477743701152903,1.0,0.0,0.17647058823529413,-0.02866028161561342,-0.0229091417945389
10,0.6414963505764056,0.4996371476673821,0.3333333333333333,0.0,0.23529411764705882,-0.007211868115379226,-0.020943567458922285
11,0.6414963505764056,0.4918636572980592,0.6666666666666666,0.0,0.17647058823529413,-0.028067271964279068,-0.0002410446137448563
12,0.6414963505764056,0.49925926128272985,1.0,0.0,0.17647058823529413,-0.012972853350384353,-0.0008919507764096335
13,0.6414963505764056,0.48796940945987166,1.0,0.0,0.11764705882352941,-0.027608850350974955,0.0018141612220748948
14,0.6414963505764056,0.49209096631793786,1.0,0.0,0.23529411764705882,-0.030455857528072346,0.04624590195551459
15,0.6414963505764056,0.49077325501408187,1.0,0.0,0.17647058823529413,-0.04319860897572855,0.08602622150146358
