avg_child_fitness,avg_elite,avg_mut,avg_off,avg_rand,best_fit,delta_best,generation,mean_mutant_gain,mean_offspring_gain,mut_gain_design_param
0.6858210798777963,0.6858210798777963,0.0,0.0,0.6858210798777963,0.7973292502986523,0.0,0,0.0,0.0,
0.7688066945579075,0.7789494889211414,0.7772161122317289,0.7734524013045406,0.7118648731882025,0.7973292502986523,0.0,1,0.0,-0.010238924927420593,0.0
0.7809359885873783,0.7956434327255516,0.7954327055289141,0.7954327055289141,0.6742052766228414,0.7973292502986523,0.0,2,0.0,-0.0018965447697382176,0.0
0.7955364911857984,0.7973292502986523,0.7973292502986523,0.7973292502986523,0.7829871773958216,0.860284533948574,0.06295528364992165,3,0.0,0.0,0.0
0.7995370960810579,0.8078217975736393,0.8183143448486262,0.7973292502986523,0.752772681502111,0.860284533948574,0.0,4,0.0,-0.01259105672998433,0.0
0.8207172354066962,0.8338618889424665,0.8483369606502337,0.8318398902149253,0.6836998116582927,0.860284533948574,0.0,5,0.0,-0.018886585094976493,0.0
0.832576385405436,0.860284533948574,0.8602845339485741,0.8602845339485741,0.6293832960890913,0.860284533948574,0.0,6,0.0,0.0,0.0
0.8392045548183261,0.860284533948574,0.8602845339485741,0.8602845339485741,0.6635380620662629,0.860284533948574,0.0,7,0.0,0.0,0.0
0.8411997055527888,0.860284533948574,0.8602845339485741,0.8602845339485741,0.7076059067822921,0.860284533948574,0.0,8,0.0,0.0,0.0
0.8422554783123752,0.860284533948574,0.8602845339485741,0.8602845339485742,0.6920133480107197,0.860284533948574,0.0,9,0.0,0.0,0.0
0.8382454185752887,0.860284533948574,0.860284533948574,0.8602845339485741,0.6839716109622905,0.860284533948574,0.0,10,0.0,0.0,0.0
