generation,chromosome,chromosome_origin,last_mutation,parameter,old_value,new_value,fitness
1,6,offspring,design_param,waistband.waist.v,1.0,1.9520998662809002,0.7241748314564793
1,7,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7446883258189756
1,8,offspring,design_param,collar.component.style.v,,Turtle,0.6160479668871688
1,10,offspring,design_param,collar.fc_angle.v,95,74,0.6878042465474619
1,11,offspring,design_param,left.collar.b_bezier_y.v,0.1,0.16973931462303748,0.6409690260238445
1,12,offspring,design_param,collar.b_bezier_y.v,0.1,0.5476607887247059,0.6881439629074284
1,17,offspring,design_param,meta.bottom.v,,Pants,0.7368128249097414
1,18,mutant,design_param,meta.upper.v,FittedShirt,Shirt,0.7348141562607744
1,18,mutant,design_param,meta.upper.range.1,Shirt,,0.7348141562607744
1,18,mutant,design_param,meta.upper.range.0,FittedShirt,Shirt,0.7348141562607744
1,25,mutant,design_param,meta.bottom.v,,SkirtCircle,0.729159204009442
2,1,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7446883258189756
2,8,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7349801114916835
2,11,offspring,design_param,collar.b_flip_curve.range.1,False,,0.6247952292464973
2,11,offspring,design_param,collar.b_flip_curve.v,False,True,0.6247952292464973
2,14,offspring,design_param,collar.f_collar.range.1,CurvyNeckHalf,VNeckHalf,0.5683148889877615
2,14,offspring,design_param,collar.f_collar.v,CircleNeckHalf,TrapezoidNeckHalf,0.5683148889877615
2,14,offspring,design_param,collar.f_collar.range.4,TrapezoidNeckHalf,CircleArcNeckHalf,0.5683148889877615
2,14,offspring,design_param,collar.f_collar.range.2,VNeckHalf,SquareNeckHalf,0.5683148889877615
2,14,offspring,design_param,collar.f_collar.range.5,CircleArcNeckHalf,Bezier2NeckHalf,0.5683148889877615
2,14,offspring,design_param,collar.f_collar.range.6,Bezier2NeckHalf,,0.5683148889877615
2,14,offspring,design_param,collar.f_collar.range.0,CircleNeckHalf,CurvyNeckHalf,0.5683148889877615
2,14,offspring,design_param,collar.f_collar.range.3,SquareNeckHalf,TrapezoidNeckHalf,0.5683148889877615
2,15,offspring,design_param,left.shirt.width.v,1.05,1.017666865319976,0.5895831319878154
2,17,offspring,design_param,collar.fc_angle.v,95,75,0.5770663136322942
2,18,mutant,design_param,left.collar.bc_angle.v,95,88,0.7442905517754822
2,20,mutant,design_param,collar.fc_depth.v,0.4,0.6007386899454858,0.6717490808963219
2,23,mutant,design_param,collar.fc_depth.v,0.4,1.0097177571523164,0.6220285533390472
2,24,mutant,design_param,collar.f_bezier_x.v,0.3,0.5967814163379075,0.6942998003053475
2,24,mutant,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.6942998003053475
2,25,mutant,design_param,left.collar.f_bezier_x.v,0.3,0.44900081574956674,0.744623843501385
2,26,mutant,design_param,waistband.waist.v,1.0,1.2549554971905863,0.7335293566292689
3,1,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7446883258189756
3,5,mutant,design_param,left.collar.f_bezier_x.v,0.3,0.44900081574956674,0.744623843501385
3,6,offspring,,left.collar.f_bezier_x.v,0.3,0.44900081574956674,0.7040219737557369
3,7,offspring,design_param,left.collar.f_collar.range.3,SquareNeckHalf,TrapezoidNeckHalf,0.7447917125426892
3,7,offspring,design_param,left.collar.f_collar.range.4,TrapezoidNeckHalf,CircleArcNeckHalf,0.7447917125426892
3,7,offspring,design_param,left.collar.f_collar.range.6,Bezier2NeckHalf,,0.7447917125426892
3,7,offspring,design_param,left.collar.f_collar.range.0,CircleNeckHalf,CurvyNeckHalf,0.7447917125426892
3,7,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7447917125426892
3,7,offspring,design_param,left.collar.f_collar.range.5,CircleArcNeckHalf,Bezier2NeckHalf,0.7447917125426892
3,7,offspring,design_param,left.collar.f_collar.v,CircleNeckHalf,TrapezoidNeckHalf,0.7447917125426892
3,7,offspring,design_param,left.collar.f_collar.range.1,CurvyNeckHalf,VNeckHalf,0.7447917125426892
3,7,offspring,design_param,left.collar.f_collar.range.2,VNeckHalf,SquareNeckHalf,0.7447917125426892
3,8,offspring,design_param,shirt.flare.v,1.0,1.2731720123611525,0.5537390869862384
3,9,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
3,9,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
3,10,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.20722352543046513,0.5877651696872047
3,12,offspring,design_param,left.collar.f_bezier_x.v,0.3,0.44900081574956674,0.5740131063021253
3,15,offspring,design_param,left.collar.f_collar.range.3,SquareNeckHalf,TrapezoidNeckHalf,0.767886531486781
3,15,offspring,design_param,left.collar.f_collar.range.4,TrapezoidNeckHalf,CircleArcNeckHalf,0.767886531486781
3,15,offspring,design_param,left.collar.f_collar.range.6,Bezier2NeckHalf,,0.767886531486781
3,15,offspring,design_param,left.collar.f_collar.range.0,CircleNeckHalf,CurvyNeckHalf,0.767886531486781
3,15,offspring,design_param,left.collar.f_collar.range.5,CircleArcNeckHalf,Bezier2NeckHalf,0.767886531486781
3,15,offspring,design_param,left.collar.f_collar.v,CircleNeckHalf,CurvyNeckHalf,0.767886531486781
3,15,offspring,design_param,left.collar.f_collar.range.1,CurvyNeckHalf,VNeckHalf,0.767886531486781
3,15,offspring,design_param,left.collar.f_collar.range.2,VNeckHalf,SquareNeckHalf,0.767886531486781
3,16,offspring,design_param,waistband.width.v,0.2,0.9284479953252194,0.6908021408419776
3,17,offspring,design_param,sleeve.sleeveless.range.0,True,False,0.7040219737557369
3,17,offspring,design_param,sleeve.sleeveless.v,True,False,0.7040219737557369
3,17,offspring,design_param,sleeve.sleeveless.range.1,False,,0.7040219737557369
3,18,mutant,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.6422798226109873
3,18,mutant,design_param,collar.bc_angle.v,95,86,0.6422798226109873
3,20,mutant,design_param,left.collar.fc_angle.v,95,84,0.744623843501385
3,21,mutant,design_param,meta.wb.v,StraightWB,,0.744623843501385
3,21,mutant,design_param,meta.wb.range.1,FittedWB,,0.744623843501385
3,21,mutant,design_param,meta.wb.range.0,StraightWB,FittedWB,0.744623843501385
3,22,mutant,design_param,collar.component.style.v,,SimpleLapel,0.744623843501385
3,23,mutant,design_param,collar.width.v,0.2,0.2850186065352036,0.6871130058301977
3,24,mutant,design_param,left.shirt.flare.v,1.0,1.5404716951921822,0.6668816380302418
3,26,mutant,design_param,shirt.flare.v,1.0,0.9044506338858215,0.6864995477977252
4,0,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
4,0,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
4,1,offspring,design_param,left.collar.f_collar.range.3,SquareNeckHalf,TrapezoidNeckHalf,0.767886531486781
4,1,offspring,design_param,left.collar.f_collar.range.4,TrapezoidNeckHalf,CircleArcNeckHalf,0.767886531486781
4,1,offspring,design_param,left.collar.f_collar.range.6,Bezier2NeckHalf,,0.767886531486781
4,1,offspring,design_param,left.collar.f_collar.range.0,CircleNeckHalf,CurvyNeckHalf,0.767886531486781
4,1,offspring,design_param,left.collar.f_collar.range.5,CircleArcNeckHalf,Bezier2NeckHalf,0.767886531486781
4,1,offspring,design_param,left.collar.f_collar.v,CircleNeckHalf,CurvyNeckHalf,0.767886531486781
4,1,offspring,design_param,left.collar.f_collar.range.1,CurvyNeckHalf,VNeckHalf,0.767886531486781
4,1,offspring,design_param,left.collar.f_collar.range.2,VNeckHalf,SquareNeckHalf,0.767886531486781
4,4,offspring,design_param,left.collar.f_collar.range.3,SquareNeckHalf,TrapezoidNeckHalf,0.7447917125426892
4,4,offspring,design_param,left.collar.f_collar.range.4,TrapezoidNeckHalf,CircleArcNeckHalf,0.7447917125426892
4,4,offspring,design_param,left.collar.f_collar.range.6,Bezier2NeckHalf,,0.7447917125426892
4,4,offspring,design_param,left.collar.f_collar.range.0,CircleNeckHalf,CurvyNeckHalf,0.7447917125426892
4,4,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7447917125426892
4,4,offspring,design_param,left.collar.f_collar.range.5,CircleArcNeckHalf,Bezier2NeckHalf,0.7447917125426892
4,4,offspring,design_param,left.collar.f_collar.v,CircleNeckHalf,TrapezoidNeckHalf,0.7447917125426892
4,4,offspring,design_param,left.collar.f_collar.range.1,CurvyNeckHalf,VNeckHalf,0.7447917125426892
4,4,offspring,design_param,left.collar.f_collar.range.2,VNeckHalf,SquareNeckHalf,0.7447917125426892
4,5,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7446883258189756
4,6,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
4,6,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
4,6,offspring,design_param,meta.upper.v,FittedShirt,Shirt,0.7705637375336334
4,6,offspring,design_param,meta.upper.range.1,Shirt,,0.7705637375336334
4,6,offspring,design_param,meta.upper.range.0,FittedShirt,Shirt,0.7705637375336334
4,7,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
4,7,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
4,8,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7705637375336334
4,8,offspring,design_param,left.collar.f_bezier_y.v,0.55,0.8776226773354997,0.7705637375336334
4,9,offspring,design_param,left.collar.f_collar.range.3,SquareNeckHalf,TrapezoidNeckHalf,0.6063334201882475
4,9,offspring,design_param,left.collar.f_collar.range.4,TrapezoidNeckHalf,CircleArcNeckHalf,0.6063334201882475
4,9,offspring,design_param,left.collar.f_collar.range.6,Bezier2NeckHalf,,0.6063334201882475
4,9,offspring,design_param,left.collar.f_collar.range.0,CircleNeckHalf,CurvyNeckHalf,0.6063334201882475
4,9,offspring,design_param,collar.width.v,0.2,-0.0024851134559798482,0.6063334201882475
4,9,offspring,design_param,left.collar.f_collar.range.5,CircleArcNeckHalf,Bezier2NeckHalf,0.6063334201882475
4,9,offspring,design_param,left.collar.f_collar.v,CircleNeckHalf,CurvyNeckHalf,0.6063334201882475
4,9,offspring,design_param,left.collar.f_collar.range.1,CurvyNeckHalf,VNeckHalf,0.6063334201882475
4,9,offspring,design_param,left.collar.f_collar.range.2,VNeckHalf,SquareNeckHalf,0.6063334201882475
4,10,offspring,design_param,left.collar.b_bezier_x.v,0.15,0.34142844218166146,0.7446883258189756
