parameter,piece_id,old_path,new_path
skirt.length,skirt_back,"[[0.0, 16.523640259494876], [13.0, 0.0], [13.0, 0.0], [38.43827, 0.0], [38.43827, 0.0], [63.876540000000006, 0.0], [63.876540000000006, 0.0], [76.87654, 16.523640259494876], [76.87654, 16.523640259494876], [0.0, 16.523640259494876]]","[[0.0, 76.67167291099521], [0.08105073203762458, 76.19365020207326], [0.08105073203762458, 76.19365020207326], [13.0, 0.0], [13.0, 0.0], [38.43827, 0.0], [38.43827, 0.0], [63.876540000000006, 0.0], [63.876540000000006, 0.0], [76.79548926796238, 76.19365020207326], [76.79548926796238, 76.19365020207326], [76.87654, 76.67167291099521], [76.87654, 76.67167291099521], [0.0, 76.67167291099521]]"
skirt.length,skirt_front,"[[0.0, 16.523640259494876], [13.0, 0.0], [13.0, 0.0], [42.378699999999995, 0.0], [42.378699999999995, 0.0], [71.75739999999999, 0.0], [71.75739999999999, 0.0], [84.75739999999999, 16.523640259494876], [84.75739999999999, 16.523640259494876], [0.0, 16.523640259494876]]","[[0.0, 76.67167291099521], [0.08105073203762458, 76.19365020207326], [0.08105073203762458, 76.19365020207326], [13.0, 0.0], [13.0, 0.0], [42.378699999999995, 0.0], [42.378699999999995, 0.0], [71.75739999999999, 0.0], [71.75739999999999, 0.0], [84.67634926796237, 76.19365020207326], [84.67634926796237, 76.19365020207326], [84.75739999999999, 76.67167291099521], [84.75739999999999, 76.67167291099521], [0.0, 76.67167291099521]]"
