Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5591391957239938,0.4680462201685006,0.6,0.0,0.2,-0.00020930585657421194,-0.045806201364574084
2,0.5793811890276349,0.47316637271676026,0.6,0.02024199330364107,0.2,0.006487222909673562,-0.04447230515497813
3,0.59622207981893,0.4822107838214004,0.4,0.016840890791295138,0.4666666666666667,0.008873315078198007,0.003655673528479092
4,0.59622207981893,0.48051450370643106,1.0,0.0,0.13333333333333333,-0.01559604222358217,-0.032948208541154746
5,0.6063688963254783,0.48416839915459586,0.8,0.01014681650654825,0.13333333333333333,-0.014975884755020858,0.03988664963913291
6,0.6063688963254783,0.49768588335338815,0.6,0.0,0.2,-0.013800788179064723,-0.004569189187231371
7,0.6184324074688116,0.5010594312869826,0.6,0.012063511143333261,0.3333333333333333,-0.021854728779770037,-0.030618078576235386
8,0.6184324074688116,0.49175085261910867,1.0,0.0,0.06666666666666667,-0.03998800955028033,-0.0014127897648786303
9,0.6184324074688116,0.5232901315028536,0.8,0.0,0.13333333333333333,-0.01676105318235797,0.02414817481403775
10,0.6184324074688116,0.4923848377237551,1.0,0.0,0.2,-0.04264444975266488,0.07146541039166399
11,0.6406659345886045,0.5256054338291901,0.8,0.022233527119792984,0.26666666666666666,0.014091212381343261,-0.00022733210863457032
12,0.6406659345886045,0.4905401507675674,1.0,0.0,0.06666666666666667,-0.04336122822403139,0.025130143879848077
13,0.6406659345886045,0.4974003833499044,0.8,0.0,0.2,-0.01528180003328843,0.002089105719927681
14,0.6406659345886045,0.4717486718363188,1.0,0.0,0.0,-0.05832100595001357,0.0
15,0.6406659345886045,0.4935027433194037,1.0,0.0,0.13333333333333333,-0.010915124484351835,-0.027456120021017744
