Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5991898014645723,0.48766938579731495,0.6666666666666666,0.0,0.35294117647058826,0.006234126472282174,-0.010702118908140074
2,0.6064924950784663,0.49294950235123464,0.3333333333333333,0.007302693613893907,0.17647058823529413,-0.019587405080983923,0.02340902562913201
3,0.6064924950784663,0.4966398395589225,0.3333333333333333,0.0,0.23529411764705882,-0.02031434210759426,0.015782470455398587
4,0.6064924950784663,0.4880509676977386,0.6666666666666666,0.0,0.11764705882352941,-0.011397719561770433,-0.02134952719108422
5,0.6064924950784663,0.4756182253251556,1.0,0.0,0.35294117647058826,-0.023224824469888095,-0.0002741083327232885
6,0.6064924950784663,0.4868930397746216,1.0,0.0,0.23529411764705882,-0.021977783665308916,0.029379924780369104
7,0.6064924950784663,0.4782863379599932,1.0,0.0,0.058823529411764705,-0.030818338680856847,-0.06566826833257738
8,0.6121692439419649,0.48724924286888593,0.6666666666666666,0.005676748863498671,0.23529411764705882,-0.018232952225484052,5.551115123125783e-17
9,0.6121692439419649,0.4947768800930005,0.6666666666666666,0.0,0.17647058823529413,-0.02172390995641259,0.022408741811177225
10,0.6121692439419649,0.4863599635426933,1.0,0.0,0.11764705882352941,-0.024369704345126208,-0.0036401383506412164
11,0.6121692439419649,0.4907437057453686,0.6666666666666666,0.0,0.11764705882352941,-0.00910600176567092,0.009003341363575315
12,0.6121692439419649,0.5016689733656231,1.0,0.0,0.058823529411764705,-0.021886986052883684,-0.02259564578706802
13,0.6238476285723844,0.48835517143723933,0.6666666666666666,0.01167838463041948,0.4117647058823529,-0.010995512667209184,-0.01725957961204394
14,0.6238476285723844,0.4729696048548932,1.0,0.0,0.11764705882352941,-0.028462923978690352,-0.04583473621051726
15,0.6238476285723844,0.5009129221919951,1.0,0.0,0.29411764705882354,-0.0033224108504175285,0.030438086834237654
