Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5911895473135667,0.47756422071802096,0.3333333333333333,0.04045579336200511,0.4117647058823529,0.014973106118392568,-0.0006836019475790767
2,0.5911895473135667,0.47913351418098515,0.6666666666666666,0.0,0.23529411764705882,-0.018438460397537437,-0.0003350229659563886
3,0.5911895473135667,0.477605463854121,0.6666666666666666,0.0,0.29411764705882354,-0.020216420627733368,-0.06161304564568945
4,0.6009200617823888,0.49644597934059964,0.3333333333333333,0.009730514468822116,0.35294117647058826,0.01819927773217303,-0.02168827689624829
5,0.6009200617823888,0.4846819637971855,1.0,0.0,0.17647058823529413,-0.024052232350524602,0.006100352597087522
