parameter,piece_id,old_path,new_path
left.shirt.flare,left_btorso,"[[0.0, 37.48796872251318], [0.0, 5.1892462524375205], [3.7182535471737995e-16, 5.1892462524375205], [3.074409518537893, 4.843812848204372], [5.995506164379215, 3.8247385083787293], [8.617622382340484, 2.1828418417334134], [10.809999999999995, 0.0], [10.809999999999993, 0.0], [17.25, 2.562787498955153], [17.25, 2.562787498955153], [17.019, 9.710381248955155], [17.480999999999998, 15.243037498955161], [19.477499999999996, 19.055568748955167], [23.84999999999999, 21.04278749895517], [23.85, 21.042787498955157], [23.85, 25.59406898684028], [23.85, 25.59406898684028], [23.133333333333333, 39.86073565350694], [23.133333333333333, 39.86073565350694], [21.083930993369176, 39.44093184083899], [19.031932052836208, 39.05968365643386], [16.977336511734425, 38.716991100291544], [14.920144370063827, 38.41285417241205], [14.920144370063827, 38.41285417241205], [15.284078614134723, 27.58462791469865], [15.284078614134723, 27.58462791469865], [13.140596675068487, 38.20481704668393], [13.140596675068487, 38.20481704668393], [12.008649293286297, 38.08633391064006], [10.876129248762279, 37.978546263953426], [9.743036541496434, 37.881454106624034], [8.60937117148876, 37.795057438651874], [8.60937117148876, 37.795057438651874], [8.482296321265911, 25.757572152683743], [8.482296321265911, 25.757572152683743], [6.821364433044936, 37.68059631982142], [6.821364433044936, 37.68059631982142], [5.117957154301094, 37.596321734119876], [3.413260655878991, 37.53612560600132], [1.7072749377786263, 37.50000793546575], [0.0, 37.48796872251318]]","[[6.72620179848113e-17, 49.94379970651491], [6.72620179848113e-17, 5.663799638636277], [0.0, 5.66379963863627], [3.1420062748295976, 5.282853474450796], [6.10194080491232, 4.162089900497669], [8.708282467408296, 2.3664544838793873], [10.809999999999995, 0.0], [10.809999999999993, 7.105427357601002e-15], [17.25, 2.562787653077905], [17.25, 2.562787653077905], [17.423332031250002, 9.869691949952902], [18.211406250000003, 15.488990778077905], [20.466902343750004, 19.265188043702903], [25.042500000000004, 21.0427876530779], [25.042500000000004, 21.0427876530779], [25.042500000000004, 49.94379970651491], [25.042500000000004, 49.94379970651491], [6.72620179848113e-17, 49.94379970651491]]"
left.shirt.flare,left_ftorso,"[[0.0, 43.560735712160835], [0.0, 12.014068925214897], [1.375796442043222e-14, 12.0140689252149], [4.4230803253539, 11.073514734187015], [8.08074798734335, 8.414614768932694], [10.34004474398995, 4.497490834692307], [10.809999999999995, 0.0], [10.809999999999997, 1.4210854715202004e-14], [17.091059555208584, 2.4995367286833527], [17.091059555208595, 2.499536728683374], [17.120683264140535, 9.749818622064382], [17.792863674569517, 15.338322809692649], [19.95630697199597, 19.127433956816272], [24.45971934192031, 20.97953672868335], [24.45971934192031, 20.97953672868335], [26.049999999999994, 25.594069070736182], [26.049999999999994, 25.594069070736182], [12.980283094114087, 27.444069070736187], [12.980283094114087, 27.444069070736187], [26.049999999999994, 29.294069070736192], [26.049999999999994, 29.294069070736192], [24.899999999999995, 43.560735712160835], [24.899999999999995, 43.560735712160835], [10.75000013194631, 43.560735712160835], [10.75000013194631, 43.560735712160835], [9.60000013194631, 30.772338627303014], [9.60000013194631, 30.772338627303014], [8.450000131946313, 43.560735712160835], [8.450000131946313, 43.560735712160835], [0.0, 43.560735712160835]]","[[0.0, 49.98757388593961], [0.0, 15.63639361944896], [7.075315602787714e-16, 15.636393619448967], [5.366054248444489, 14.314825886054436], [9.504642358110381, 10.652426682017435], [11.469076775766318, 5.486957014123966], [10.809999999999997, 0.0], [10.809999999999997, 0.0], [17.250000000000004, 2.5627868657203408], [17.250000000000007, 2.562786865720362], [18.20656640625, 10.178292725095346], [19.626281249999998, 15.965427490720344], [22.383480468749998, 19.671241943845338], [27.352499999999996, 21.042786865720338], [27.352499999999996, 21.042786865720338], [27.352499999999996, 49.98757388593961], [27.352499999999996, 49.98757388593961], [0.0, 49.98757388593961]]"
collar.fc_angle,right_ftorso,"[[26.049999999999994, 43.56073571216082], [17.59999986805368, 43.56073571216082], [17.59999986805368, 43.56073571216082], [16.449999868053684, 30.772338627303], [16.449999868053684, 30.772338627303], [15.299999868053684, 43.56073571216082], [15.299999868053684, 43.56073571216082], [1.1499999999999986, 43.56073571216082], [1.1499999999999986, 43.56073571216082], [0.0, 29.294069070736178], [0.0, 29.294069070736178], [13.069716905885906, 27.444069070736173], [13.069716905885906, 27.444069070736173], [0.0, 25.594069070736168], [0.0, 25.594069070736168], [1.5902806580796849, 20.979536728683335], [1.5902806580796742, 20.97953672868336], [6.093693028004019, 19.12743395681627], [8.257136325430476, 15.338322809692635], [8.929316735859462, 9.74981862206436], [8.95894044479141, 2.4995367286833385], [8.95894044479141, 2.4995367286833385], [15.239999999999997, 0.0], [15.239999999999995, 7.105427357601002e-15], [15.709955256010048, 4.497490834692314], [17.969252012656654, 8.414614768932694], [21.626919674646103, 11.073514734187], [26.049999999999994, 12.014068925214886], [26.049999999999994, 12.014068925214882], [26.049999999999994, 43.56073571216082]]","[[27.352500000000006, 49.98757388593961], [1.0658141036401503e-14, 49.98757388593961], [1.0658141036401503e-14, 49.98757388593961], [1.0658141036401503e-14, 21.042786865720338], [0.0, 21.042786865720338], [4.969019531250005, 19.671241943845338], [7.726218750000005, 15.965427490720337], [9.145933593750005, 10.17829272509534], [10.102500000000003, 2.5627868657203408], [10.102500000000003, 2.5627868657203408], [16.54250000000001, 0.0], [16.542500000000004, 7.105427357601002e-15], [15.883423224233688, 5.486957014123973], [17.847857641889625, 10.652426682017435], [21.986445751555518, 14.314825886054436], [27.352500000000006, 15.636393619448967], [27.352500000000006, 15.63639361944896], [27.352500000000006, 49.98757388593961]]"
collar.fc_angle,left_ftorso,"[[0.0, 43.560735712160835], [0.0, 12.014068925214897], [1.375796442043222e-14, 12.0140689252149], [4.4230803253539, 11.073514734187015], [8.08074798734335, 8.414614768932694], [10.34004474398995, 4.497490834692307], [10.809999999999995, 0.0], [10.809999999999997, 1.4210854715202004e-14], [17.091059555208584, 2.4995367286833527], [17.091059555208595, 2.499536728683374], [17.120683264140535, 9.749818622064382], [17.792863674569517, 15.338322809692649], [19.95630697199597, 19.127433956816272], [24.45971934192031, 20.97953672868335], [24.45971934192031, 20.97953672868335], [26.049999999999994, 25.594069070736182], [26.049999999999994, 25.594069070736182], [12.980283094114087, 27.444069070736187], [12.980283094114087, 27.444069070736187], [26.049999999999994, 29.294069070736192], [26.049999999999994, 29.294069070736192], [24.899999999999995, 43.560735712160835], [24.899999999999995, 43.560735712160835], [10.75000013194631, 43.560735712160835], [10.75000013194631, 43.560735712160835], [9.60000013194631, 30.772338627303014], [9.60000013194631, 30.772338627303014], [8.450000131946313, 43.560735712160835], [8.450000131946313, 43.560735712160835], [0.0, 43.560735712160835]]","[[0.0, 49.98757388593961], [0.0, 15.63639361944896], [7.075315602787714e-16, 15.636393619448967], [5.366054248444489, 14.314825886054436], [9.504642358110381, 10.652426682017435], [11.469076775766318, 5.486957014123966], [10.809999999999997, 0.0], [10.809999999999997, 0.0], [17.250000000000004, 2.5627868657203408], [17.250000000000007, 2.562786865720362], [18.20656640625, 10.178292725095346], [19.626281249999998, 15.965427490720344], [22.383480468749998, 19.671241943845338], [27.352499999999996, 21.042786865720338], [27.352499999999996, 21.042786865720338], [27.352499999999996, 49.98757388593961], [27.352499999999996, 49.98757388593961], [0.0, 49.98757388593961]]"
