avg_child_fitness,avg_elite,avg_mut,avg_off,avg_rand,best_fit,delta_best,generation,mean_mutant_gain,mean_offspring_gain,mut_gain_design_param,mut_gain_insertion,mut_gain_inversion,mut_gain_rotate,mut_gain_scramble,mut_gain_swap
0.6660121573551117,0.6660121573551117,0.0,0.0,0.6660121573551117,0.7485950942555843,0.0,0,0.0,0.0,,,,,,
0.6937513063378462,0.713553764447642,0.6993336746683202,0.6811024107388444,0.6810153754965782,0.7485950942555843,0.0,1,-0.012999549034541346,-0.045508210438478955,0.014249606695455608,-0.08419684683631723,-0.009503926117345296,-0.021335155949689044,-0.00540330167823172,-0.02345088908598264
0.6996874159005081,0.7298465892530294,0.6818854536041853,0.6956598831385237,0.6838341994115674,0.7988747113203097,0.05027961706472539,2,-0.04484641832134865,-0.03855133668568654,,,-0.026333095421557207,-0.07522295920056671,-0.07724954270818418,0.01128314202434011
0.6943054832785064,0.7468900218367092,0.7003825822013737,0.6822202978374678,0.6471282225866573,0.8042888542202346,0.005414142899924812,3,-0.04686122014523772,-0.07653994000948733,-0.017245907848473296,,-0.03791305301018122,,-0.09743450272251175,-0.03885468471493566
0.7040293095990823,0.7548399883382273,0.711656095557793,0.6677655405845105,0.6725018404031695,0.8042888542202346,0.0,4,-0.05294487612155119,-0.0961718425245259,-0.04236213881615997,,-0.048582575640333414,,-0.03078435228816656,-0.08737176288963483
0.7060617332888915,0.7557684482462848,0.724861837607256,0.680960476051534,0.6657860768222655,0.8042888542202346,0.0,5,-0.03822744292883392,-0.09576438898573492,-0.056450437546281984,,-0.024560196965747877,,,
0.7123894691826487,0.7611955636295661,0.7279646816914671,0.6859875628586043,0.6748849204203164,0.8056054778814462,0.0013166236612116577,6,-0.03224077129682794,-0.10197852891409442,0.00419849147311796,,-0.0477215457508402,,,-0.04272001545479476
0.7196736593826129,0.7755114004378225,0.7393946130046191,0.7013658719086633,0.6663669429037476,0.8056054778814462,0.0,7,-0.05167760305200024,-0.08539295315183767,-0.01275254955004416,,-0.039227551928482984,-0.09775901997469866,,-0.10119003195950615
0.7183264396872935,0.788884487447402,0.7082738032427658,0.6959718960588961,0.6749243267039124,0.8056054778814462,0.0,8,-0.08588023508691574,-0.10155192188287046,-0.08461090562664168,-0.06291118780663203,-0.15859536530858898,,,
0.7391379075465633,0.7903530305177248,0.7700601961896452,0.7323413565470818,0.6699815046604182,0.8058675046859005,0.00026202680445430726,9,-0.018149898899323627,-0.06335813177498212,0.0,-0.0004655815487733343,-0.05720467048258243,,-0.03524213434056567,0.005849028757461516
0.7124441318516173,0.7990120988178068,0.6795328001539477,0.67496631224729,0.6793530015479246,0.8058675046859005,0.0,10,-0.11911348761108875,-0.12873854847755953,,-0.13093391987823844,,-0.09654401344377916,,-0.11875635748875883
0.726734130739428,0.7990120988178068,0.6962434170006514,0.7109376220422622,0.6854980282276028,0.8058675046859005,0.0,11,-0.10132676283423632,-0.09209585912413809,-0.04449279278325258,-0.12645809060705493,,-0.08915492287656579,-0.15974888010288135,-0.08677912780142694
