generation,avg_child_fitness,avg_elite,avg_off,avg_mut,avg_rand,best_fit,delta_best,mean_offspring_gain,mean_mutant_gain
1,0.6477044837607407,0.6905523392998985,0.6429436109230563,0.0,0.0,0.7208911498882458,0.0,-0.053065164226716206,0.0
2,0.652580175871515,0.6988898995669769,0.6474346510164636,0.0,0.0,0.7220727651676412,0.0011816152793954204,-0.0595687459856007,0.0
3,0.6731719876277308,0.7100429397801834,0.6690752151663469,0.0,0.0,0.7302107406947302,0.008137975527089059,-0.04642775174990953,0.0
4,0.6853892361700408,0.7213826910845054,0.6813899634017673,0.0,0.0,0.7356776381836468,0.0054668974889166,-0.04188986732559388,0.0
5,0.6993556948752164,0.7283116247359874,0.6961383693351306,0.0,0.0,0.7406031374035261,0.004925499219879281,-0.03509537130593374,0.0
6,0.709341277446432,0.7364654269411038,0.706327483058135,0.0,0.0,0.7406031374035262,1.1102230246251565e-16,-0.030980945605741463,0.0
7,0.7193008863361718,0.7391254876375625,0.7170981528582399,0.0,0.0,0.7406031374035262,0.0,-0.023121890161517358,0.0
8,0.7155740680260563,0.7406031374035261,0.7127930603174482,0.0,0.0,0.7436027523377653,0.002999614934239059,-0.02781007708607747,0.0
9,0.7087128521839209,0.7410277646558112,0.7051223063537109,0.0,0.0,0.7498017174813236,0.006198965143558333,-0.036269052997591054,0.0
10,0.7023375388964307,0.7433461701793072,0.6977810243094444,0.0,0.0,0.7498017174813236,0.0,-0.04671092958790693,0.0
11,0.7152063586520516,0.7448425453664771,0.7119134490171155,0.0,0.0,0.7565198671217984,0.006718149640474791,-0.03389337981613694,0.0
12,0.7130734107428407,0.7461342568448804,0.7093999833981695,0.0,0.0,0.7565198671217984,0.0,-0.03850235794186925,0.0
13,0.7267393135423202,0.7518171623734662,0.7239528858944153,0.0,0.0,0.7580343488387121,0.001514481716913707,-0.029207906407145746,0.0
14,0.7244588544726315,0.7566713152934897,0.7208796921592029,0.0,0.0,0.7580343488387121,0.0,-0.035909416156712955,0.0
15,0.7262898338568544,0.7572771079802553,0.722846803398699,0.0,0.0,0.7580343488387121,0.0,-0.03493513182052759,0.0
16,0.7346311325969305,0.7580343488387121,0.7320307752367329,0.0,0.0,0.7580343488387121,0.0,-0.026003573601979635,0.0
17,0.7191874988680119,0.7580343488387121,0.7148711822046013,0.0,0.0,0.7580343488387121,0.0,-0.04316316663411134,0.0
18,0.7276896977050487,0.7580343488387121,0.724318069801309,0.0,0.0,0.7580343488387121,0.0,-0.03371627903740355,0.0
19,0.7445043568243567,0.7580343488387121,0.7430010243783178,0.0,0.0,0.7580343488387121,0.0,-0.01503332446039461,0.0
20,0.7328202390028116,0.7580343488387121,0.7300186712432675,0.0,0.0,0.7580343488387121,0.0,-0.02801567759544489,0.0
21,0.7364702474180718,0.7580343488387121,0.734074236149112,0.0,0.0,0.7580343488387121,0.0,-0.023960112689600396,0.0
22,0.7306095706884083,0.7580343488387121,0.7275623731161526,0.0,0.0,0.7580343488387121,0.0,-0.030471975722559906,0.0
23,0.733789831520545,0.7580343488387121,0.7310959962629714,0.0,0.0,0.7580343488387121,0.0,-0.026938352575740857,0.0
24,0.7322124003266092,0.7580343488387121,0.7293432949363758,0.0,0.0,0.7580343488387121,0.0,-0.028691053902336578,0.0
25,0.7322487328583495,0.7580343488387121,0.7293836644160872,0.0,0.0,0.7582092696691297,0.00017492083041759088,-0.02865068442262529,0.0
26,0.7346800098537632,0.7580518409217538,0.732083139735098,0.0,0.0,0.7582092696691297,0.0,-0.02598813683448037,0.0
27,0.7367038612589976,0.7582092696691297,0.73431437143565,0.0,0.0,0.7582092696691297,0.0,-0.023894898233480143,0.0
28,0.7237688159343204,0.7582092696691297,0.7199420988526753,0.0,0.0,0.7582092696691297,0.0,-0.0382671708164548,0.0
29,0.735065056277349,0.7582092696691297,0.732493477011596,0.0,0.0,0.7582092696691297,0.0,-0.025715792657534247,0.0
30,0.7371942370717897,0.7582092696691297,0.7348592334498636,0.0,0.0,0.7582092696691297,0.0,-0.023350036219266426,0.0
31,0.7393625512371329,0.7582092696691297,0.7372684714113561,0.0,0.0,0.7582092696691297,0.0,-0.020940798257774344,0.0
32,0.7375464126582133,0.7582092696691297,0.7352505396570008,0.0,0.0,0.7582092696691297,0.0,-0.0229587300121294,0.0
33,0.7345048751006216,0.7582092696691297,0.7318710534818991,0.0,0.0,0.7582092696691297,0.0,-0.026338216187231166,0.0
34,0.7390874035835452,0.7582092696691297,0.7369627517962585,0.0,0.0,0.7582092696691297,0.0,-0.021246517872871292,0.0
35,0.733074413958566,0.7582092696691297,0.7302816522129482,0.0,0.0,0.7582092696691297,0.0,-0.027927617456181764,0.0
36,0.7366688113147586,0.7582092696691297,0.7342754270531625,0.0,0.0,0.7582092696691297,0.0,-0.02393384261596743,0.0
37,0.7313627742734589,0.7582092696691297,0.7283798303406069,0.0,0.0,0.7582092696691297,0.0,-0.029829439328522826,0.0
38,0.7382849122281268,0.7582092696691297,0.7360710947346827,0.0,0.0,0.7582092696691297,0.0,-0.022138174934447426,0.0
39,0.7297659389751611,0.7582092696691297,0.7266055688980542,0.0,0.0,0.7582092696691297,0.0,-0.03160370077107612,0.0
40,0.7294381570703,0.7582092696691297,0.7262413667815418,0.0,0.0,0.7582092696691297,0.0,-0.031967902887588266,0.0
41,0.7440972728936827,0.7582092696691297,0.7425292732519668,0.0,0.0,0.7582092696691297,0.0,-0.01567999641716314,0.0
42,0.7349318541510802,0.7582092696691297,0.7323454746490752,0.0,0.0,0.7582092696691297,0.0,-0.025863795020054908,0.0
43,0.7378847774016073,0.7582092696691297,0.7356265004829943,0.0,0.0,0.7582092696691297,0.0,-0.022582769186135755,0.0
44,0.7407117524500647,0.7582092696691297,0.7387675838701688,0.0,0.0,0.7582092696691297,0.0,-0.019441685798960953,0.0
45,0.731061884223456,0.7582092696691297,0.7280455080628258,0.0,0.0,0.7582092696691297,0.0,-0.030163761606304174,0.0
