Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5314612152103366,0.46704164333606135,0.4,0.06356759254517425,0.6,0.013317568850482752,0.0
2,0.5953910650033083,0.4675991399111445,0.6,0.06392984979297167,0.4,0.03756056658554748,0.0
3,0.5953910650033083,0.4672832405317223,1.0,0.0,0.0,0.0012238483651925592,-0.04045272558299429
4,0.5953910650033083,0.46770463644575333,0.6,0.0,0.2,0.011673510523402186,-0.0005431499397529072
5,0.5953910650033083,0.4791715275899673,0.8,0.0,0.0,-0.006287446706457078,-0.0007423928501298915
6,0.5953910650033083,0.4793400702350935,0.8,0.0,0.0,-0.019473665946179396,0.0
7,0.5953910650033083,0.48049989438329527,0.8,0.0,0.2,-0.02196929726354866,0.0
8,0.5953910650033083,0.49733819801292245,1.0,0.0,0.0,-0.025879913424890676,-0.055920885618918614
9,0.6008614987213415,0.5043745842224261,0.8,0.005470433718033241,0.2,-0.010911050168968173,0.0
10,0.6008614987213415,0.5225970462535171,1.0,0.0,0.0,-0.01209916212972908,0.0
11,0.6008614987213415,0.5496858997920684,0.6,0.0,0.6,0.02053653464408901,0.0
12,0.6008614987213415,0.5586716597871157,0.8,0.0,0.2,0.011759938567826677,0.0
13,0.6008614987213415,0.5850391046140954,0.8,0.0,0.0,-0.004280237876971782,-0.030839158048480253
14,0.6008614987213415,0.5944891964546113,1.0,0.0,0.0,-0.0031861511333651114,0.0
15,0.6008614987213415,0.5997674119777349,1.0,0.0,0.0,0.0020920643897584636,0.0
