generation,chromosome,chromosome_origin,last_mutation,parameter,old_value,new_value,fitness
1,8,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
1,9,offspring,design_param,waistband.width.v,0.2,0.2102872813227536,0.700236489205252
1,11,offspring,design_param,pants.flare.v,1.03,0.6639498523487739,0.6277166721037243
1,12,offspring,design_param,sleeve.armhole_shape.v,ArmholeCurve,ArmholeSquare,0.6262082255567074
1,15,offspring,design_param,sleeve.sleeve_angle.v,21,30,0.5889884819403778
1,16,offspring,design_param,collar.bc_angle.v,79,97,0.6930289556711596
1,17,offspring,design_param,left.sleeve.armhole_shape.v,ArmholeCurve,ArmholeAngle,0.6422599782111805
1,18,mutant,design_param,sleeve.end_width.v,1.0,1.7389486393368556,0.6494382957746708
1,19,mutant,design_param,left.sleeve.connecting_width.v,0.2,0.9009270238840914,0.7222648973264314
1,20,mutant,design_param,collar.width.v,0.213,0.45467155644662527,0.7125010765719619
1,22,mutant,design_param,collar.f_collar.v,CircleNeckHalf,SquareNeckHalf,0.7133180555812568
1,23,mutant,design_param,collar.f_collar.v,CircleNeckHalf,Bezier2NeckHalf,0.7065360603167199
1,24,mutant,design_param,collar.fc_depth.v,0.475,1.0297694796932688,0.656692464628107
1,25,mutant,design_param,sleeve.connect_ruffle.v,1.46,1.995328356676205,0.604883531252875
1,26,mutant,design_param,pants.flare.v,1.03,0.9833433109670313,0.6973762071926505
2,0,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
2,2,mutant,design_param,left.sleeve.connecting_width.v,0.2,0.9009270238840914,0.7222648973264314
2,3,mutant,design_param,collar.f_collar.v,CircleNeckHalf,SquareNeckHalf,0.7133180555812568
2,4,mutant,design_param,collar.width.v,0.213,0.45467155644662527,0.7125010765719619
2,7,offspring,,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
2,8,offspring,,left.sleeve.connecting_width.v,0.2,0.9009270238840914,0.6788340085924693
2,9,offspring,design_param,left.sleeve.smoothing_coeff.v,0.25,0.18597534137999105,0.6780752304645927
2,9,offspring,design_param,collar.width.v,0.213,0.45467155644662527,0.6780752304645927
2,10,offspring,design_param,left.sleeve.length.v,0.831,0.6474790876344257,0.6862654968200236
2,10,offspring,design_param,collar.f_collar.v,CircleNeckHalf,SquareNeckHalf,0.6862654968200236
2,12,offspring,design_param,collar.f_collar.v,CircleNeckHalf,SquareNeckHalf,0.6863183444055635
2,13,offspring,design_param,left.sleeve.cuff.skirt_flare.v,1.56,1.2762430810651888,0.7100577851744064
2,13,offspring,design_param,collar.f_collar.v,CircleNeckHalf,SquareNeckHalf,0.7100577851744064
2,14,offspring,design_param,left.sleeve.connecting_width.v,0.2,0.9009270238840914,0.6347269660867063
2,15,offspring,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.7393252096981733
2,15,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
2,16,offspring,design_param,left.sleeve.cuff.skirt_flare.v,1.56,1.2177355434948507,0.6329942340226982
2,16,offspring,design_param,left.sleeve.connecting_width.v,0.2,0.9009270238840914,0.6329942340226982
2,17,offspring,design_param,meta.bottom.v,,SkirtLevels,0.7100577851744064
2,17,offspring,design_param,collar.f_collar.v,CircleNeckHalf,SquareNeckHalf,0.7100577851744064
2,18,mutant,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
2,19,mutant,design_param,collar.width.v,0.213,0.45467155644662527,0.62436923935773
2,20,mutant,design_param,left.sleeve.armhole_shape.v,ArmholeCurve,ArmholeAngle,0.7222648973264314
2,20,mutant,design_param,left.sleeve.connecting_width.v,0.2,0.9009270238840914,0.7222648973264314
2,21,mutant,design_param,collar.width.v,0.213,0.45467155644662527,0.7125010765719619
2,22,mutant,design_param,left.sleeve.length.v,0.831,0.4299302878110902,0.7222648973264314
2,23,mutant,design_param,collar.fc_angle.v,93,102,0.695203986293867
2,23,mutant,design_param,left.sleeve.connecting_width.v,0.2,0.9009270238840914,0.695203986293867
2,24,mutant,design_param,sleeve.length.v,0.831,0.6426255391150411,0.6128079829548649
2,24,mutant,design_param,left.sleeve.connecting_width.v,0.2,0.9009270238840914,0.6128079829548649
2,25,mutant,design_param,left.sleeve.connecting_width.v,0.2,0.9009270238840914,0.6928461558776158
2,25,mutant,design_param,shirt.flare.v,1.0,0.9320072598445435,0.6928461558776158
2,26,mutant,design_param,waistband.waist.v,1.22,1.8605450455453436,0.6867701558344035
2,26,mutant,design_param,collar.f_collar.v,CircleNeckHalf,SquareNeckHalf,0.6867701558344035
3,0,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,1,offspring,,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,2,offspring,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.7393252096981733
3,2,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,3,mutant,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,5,mutant,design_param,left.sleeve.connecting_width.v,0.2,0.9009270238840914,0.7222648973264314
3,6,offspring,,left.sleeve.connecting_width.v,0.2,0.9009270238840914,0.6788340085924697
3,10,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,12,offspring,design_param,collar.fc_depth.v,0.475,0.3182880775842488,0.7391118228042082
3,13,offspring,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.7393252096981733
3,13,offspring,design_param,left.sleeve.cuff.top_ruffle.v,2.52,1.461351326863844,0.7393252096981733
3,13,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,14,offspring,design_param,left.collar.width.v,0.213,0.4182291326521519,0.7393252096981733
3,14,offspring,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.7393252096981733
3,14,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,15,offspring,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.7118403387172046
3,15,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7118403387172046
3,16,offspring,design_param,left.sleeve.sleeve_angle.v,21,49,0.7393252096981733
3,16,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,17,offspring,design_param,collar.width.v,0.213,0.6744355972109166,0.6696622457992901
3,18,mutant,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,19,mutant,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,20,mutant,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,21,mutant,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.7393252096981733
3,21,mutant,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,21,mutant,design_param,meta.wb.v,FittedWB,StraightWB,0.7393252096981733
3,22,mutant,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.7393252096981733
3,22,mutant,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
3,22,mutant,design_param,left.collar.f_bezier_y.v,0.55,0.5590539469081801,0.7393252096981733
3,23,mutant,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.6962548003198518
3,23,mutant,design_param,sleeve.standing_shoulder_len.v,5.42,4.879012378435533,0.6962548003198518
3,23,mutant,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.6962548003198518
3,24,mutant,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.6994877828823819
3,24,mutant,design_param,waistband.width.v,0.2,0.8879521499740965,0.6994877828823819
3,24,mutant,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.6994877828823819
3,25,mutant,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.6962548003198518
3,25,mutant,design_param,sleeve.standing_shoulder_len.v,5.42,6.600946002479269,0.6962548003198518
3,25,mutant,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.6962548003198518
3,26,mutant,design_param,sleeve.sleeve_angle.v,21,46,0.6148040127829129
3,26,mutant,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.6148040127829129
4,0,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
4,1,offspring,,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
4,2,offspring,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.7393252096981733
4,2,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
4,3,mutant,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
4,4,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
4,5,offspring,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.7393252096981733
4,5,offspring,design_param,left.sleeve.cuff.top_ruffle.v,2.52,1.461351326863844,0.7393252096981733
4,5,offspring,design_param,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
4,6,offspring,,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.7393252096981733
4,6,offspring,,left.sleeve.cuff.top_ruffle.v,2.52,1.461351326863844,0.7393252096981733
4,6,offspring,,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
4,7,offspring,,collar.fc_depth.v,0.475,0.31214344635660257,0.7393252096981733
4,8,offspring,design_param,left.sleeve.cuff.type.v,CuffBandSkirt,CuffSkirt,0.7393252096981733
