Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.6007810708737072,0.469584221776339,0.6,0.0,0.2,0.003932342798250399,0.03886991329383016
2,0.6007810708737072,0.4705363608986337,0.8,0.0,0.13333333333333333,-0.013430538203399681,0.0
3,0.6007810708737072,0.47690429163275116,0.8,0.0,0.2,-0.003409579661942145,-0.07345627817101902
4,0.6007810708737072,0.4832443751585555,0.8,0.0,0.2,-0.01529081923333564,-0.06037226684997582
5,0.6007810708737072,0.4845030162641224,0.4,0.0,0.26666666666666666,-0.0005157699094806456,0.008103064782521069
