generation,avg_off,avg_mut,avg_rand,best_fit,delta_best,mean_offspring_gain,mean_mutant_gain,mean_random_gain
1,0.4123215166519862,0.4856066761030065,0.42744424178705437,0.5688328120920474,0.0,0.1507523024673703,0.22403746191839063,0.1658750276024385
2,0.44058326903061473,0.48624015990700425,0.42378173460401936,0.5759705775705788,0.007137765478531399,0.16340726696799895,0.20906415784438848,0.14660573254140358
3,0.43299669343119607,0.4997243567814264,0.40978703829767343,0.5759705775705788,0.0,0.14960450099009764,0.21633216434032798,0.126394845856575
4,0.434291670884411,0.5022377879123452,0.42779939647073134,0.6094017626644336,0.03343118509385479,0.14954257444287433,0.21748869147080852,0.14305030002919467
5,0.4293447427752371,0.47153400215662467,0.41799096700115956,0.6320161295842897,0.022614366919856077,0.13931935761636982,0.1815086169977574,0.1279655818422923
6,0.4221919998987406,0.49926970569547013,0.40706249158198526,0.6320161295842897,0.0,0.12287562829750631,0.19995333409423582,0.10774611998075095
7,0.41574734341348857,0.5190751162018448,0.42160489764755643,0.6320161295842897,0.0,0.11429912238441126,0.21762689517276745,0.12015667661847912
8,0.44087689865599894,0.5005733531110018,0.420555344693528,0.6320161295842897,0.0,0.13230803127653706,0.19200448573153994,0.11198647731406614
9,0.4326890114537645,0.5450512072158433,0.41852202948197076,0.6320161295842897,0.0,0.12346525673757652,0.23582745249965537,0.1092982747657828
10,0.44568426058009303,0.544566643766615,0.39916975643399333,0.6320161295842897,0.0,0.1315489283721064,0.2304313115586284,0.08503442422600671
11,0.4311894955881992,0.5178176936144545,0.41796612907150416,0.6330540391017647,0.0010379095174750663,0.11518143079605436,0.20180962882230968,0.10195806427935933
12,0.4320352975446425,0.5069148799288616,0.41911099047115913,0.6330540391017647,0.0,0.11592344180075015,0.1908030241849693,0.1029991347272668
13,0.44551289076889067,0.5052705901304966,0.4459018680807073,0.6330540391017647,0.0,0.12940103502499833,0.18915873438660424,0.12979001233681497
14,0.4724465082959751,0.5088475307998618,0.3998745848676686,0.638003029370523,0.00494899026875828,0.15623086160033528,0.19263188410422194,0.08365893817202874
15,0.4422433160103278,0.5413850580479028,0.41267013089226673,0.6519944536785712,0.013991424308048228,0.1252213974325696,0.22436313947014463,0.09564821231450854
16,0.4409197811737492,0.5154435162711443,0.4036846453040594,0.6519944536785712,0.0,0.12051912405768284,0.1950428591550779,0.08328398818799304
17,0.44319434040157574,0.5054574599836952,0.41179806519530143,0.6519944536785712,0.0,0.12279368328550938,0.18505680286762882,0.09139740807923508
18,0.41772054135003167,0.521084784473578,0.405057503306891,0.6577265233420722,0.005732069663500927,0.09731988423396531,0.20068412735751162,0.08465684619082464
19,0.43734322410563664,0.5298424745856101,0.40100548055908297,0.6577265233420722,0.0,0.11497021759241544,0.20746946807238886,0.07863247404586177
20,0.44303716336271304,0.5252039829452925,0.4167052122183177,0.6577265233420722,0.0,0.12066415684949183,0.20283097643207126,0.09433220570509648
21,0.42460257186673045,0.5334793300587048,0.4321329155406305,0.6577265233420722,0.0,0.10002971943055339,0.2089064776225278,0.10756006310445343
22,0.45752015472944796,0.49313295694100656,0.4455738337308387,0.6577265233420722,0.0,0.13271980576747006,0.16833260797902866,0.1207734847688608
23,0.45332810377834065,0.5285530905124031,0.42144431229658286,0.6577265233420722,0.0,0.12561125604000473,0.20083624277406714,0.09372746455824693
24,0.46361246463283656,0.5366690804482158,0.422572045774148,0.6577265233420722,0.0,0.13474920296180048,0.20780581877717974,0.0937087841031119
25,0.44840047838906544,0.5558550692527344,0.41657639582762684,0.6996740607448515,0.041947537402779345,0.11953721671802936,0.22699180758169835,0.08771313415659077
26,0.4478147006327157,0.5527791823195944,0.4271604283975636,0.6996740607448515,0.0,0.11323200046277476,0.21819648214965348,0.09257772822762261
27,0.4691966354836419,0.5586693422153213,0.41650045154469295,0.6996740607448515,0.0,0.12944465135982108,0.21891735809150048,0.07674846742087216
28,0.41784161405453346,0.5834186620489888,0.4065264888901264,0.6996740607448515,0.0,0.07067465266375872,0.2362517006582141,0.05935952749935164
29,0.45089448098860707,0.5187693647395589,0.41003002118320814,0.6996740607448515,0.0,0.10105745061618132,0.16893233436713317,0.06019299081078239
30,0.4387400928250087,0.5589791332360943,0.40892554255046837,0.6996740607448515,0.0,0.08890306245258295,0.20914210286366852,0.05908851217804262
31,0.43706331369666307,0.5759319100022623,0.4013990102764306,0.6996740607448515,0.0,0.08722628332423732,0.22609487962983654,0.05156197990400485
32,0.42754393128931784,0.5833036939263826,0.42132967261512083,0.6996740607448515,0.0,0.07770690091689209,0.23346666355395684,0.07149264224269508
33,0.4589259530057099,0.5516904862885574,0.4236871742624436,0.6996740607448515,0.0,0.10908892263328412,0.20185345591613169,0.07385014389001787
34,0.43002955283558864,0.5830899315717863,0.42124723496342914,0.6996740607448515,0.0,0.08019252246316289,0.2332529011993606,0.07141020459100339
35,0.4632984589533792,0.5680168118702982,0.4166853515507326,0.6996740607448515,0.0,0.11346142858095343,0.21817978149787243,0.06684832117830686
36,0.45418849118844873,0.5447197251562563,0.39418248673585854,0.6996740607448515,0.0,0.10435146081602298,0.19488269478383058,0.04434545636343279
37,0.4688979547016624,0.589277459169541,0.420421315693738,0.6996740607448515,0.0,0.11906092432923665,0.23944042879711525,0.07058428532131222
38,0.4634813545257644,0.5662304739159375,0.4054620785419147,0.6996740607448515,0.0,0.11364432415333864,0.21639344354351175,0.05562504816948893
39,0.47039317332766295,0.5988499667568539,0.4272172102074333,0.6996740607448515,0.0,0.1205561429552372,0.24901293638442812,0.07738017983500756
40,0.4583604102884672,0.5362208627784041,0.4106290040873867,0.6996740607448515,0.0,0.10852337991604144,0.18638383240597833,0.06079197371496092
41,0.46304306497973985,0.5528874976122621,0.4309899947219401,0.6996740607448515,0.0,0.1132060346073141,0.20305046723983633,0.08115296434951436
42,0.44554418337836665,0.5521868894626758,0.4147361668971231,0.6996740607448515,0.0,0.0957071530059409,0.20234985909025005,0.06489913652469737
43,0.4580133866825512,0.5645761993433942,0.4030939847985079,0.6996740607448515,0.0,0.10817635631012545,0.21473916897096845,0.05325695442608214
44,0.46436048760480286,0.5652108370669964,0.40515148083418445,0.6996740607448515,0.0,0.11452345723237711,0.21537380669457062,0.0553144504617587
45,0.4600951876641489,0.5783630139136215,0.4209536976752358,0.6996740607448515,0.0,0.11025815729172317,0.2285259835411958,0.07111666730281008
