generation,avg_child_fitness,avg_elite,avg_off,avg_mut,avg_rand,best_fit,delta_best,mean_offspring_gain,mean_mutant_gain,mut_gain_rotate,mut_gain_scramble,mut_gain_swap,mut_gain_insertion
1,0.6617665271688119,0.6898240312269193,0.669841304180036,0.6509183661109224,0.6289375246350313,0.7349850422537931,0.0,-0.0406424176520122,-0.04737029349599566,-0.0787612299028626,-0.07375462262981314,-0.043316408142844265,0.002297201338385957
2,0.664212872117856,0.7222676516019062,0.6625350162900451,0.6743988410281468,0.6351260654041184,0.7349850422537931,0.0,-0.06757262704282795,-0.04851112874638395,-0.056557514295375144,-0.04358753221089895,-0.029295568634895353,
3,0.6898450020647572,0.7304725722655308,0.6997089228910156,0.6924623571637929,0.638630776936076,0.7349850422537931,0.0,-0.03467486390651661,-0.04116986031341332,-0.02521640242797668,-0.04514504036890232,-0.03277800322164126,-0.07749345312056966
4,0.6885424785786952,0.7349850422537931,0.7115911446580923,0.6546396819198265,0.6131265968323893,0.7349850422537931,0.0,-0.023393897595700843,-0.0803453603339667,-0.10550508251462731,-0.04967754018081816,-0.06799294197247252,-0.11055829502944303
5,0.6912032550861333,0.7349850422537931,0.7096726981929125,0.6762593360667665,0.6213759916916495,0.73498740043183,2.358178036843128e-06,-0.02531234406088071,-0.05872570618702668,-0.05981686947537515,-0.05436105303363281
