Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.609671517117101,0.48364260700512807,0.0,0.014121074725384264,0.4117647058823529,0.027048429031950188,0.0
2,0.64262548423295,0.4964795307577369,0.3333333333333333,0.03295396711584897,0.47058823529411764,-0.0028380267304688946,0.10427770206587289
3,0.64262548423295,0.472712045147775,1.0,0.0,0.0,-0.05170309556301672,0.09129422404250498
4,0.64262548423295,0.4869591200160974,0.6666666666666666,0.0,0.29411764705882354,0.002304646149016784,-9.062182931546259e-05
5,0.64262548423295,0.47878214898707466,1.0,0.0,0.29411764705882354,-0.013472476661491591,0.0008145468999827821
6,0.64262548423295,0.4815974774603329,0.6666666666666666,0.0,0.058823529411764705,-0.017387351375713025,-0.0009024376374485998
7,0.64262548423295,0.49377313531120376,0.6666666666666666,0.0,0.17647058823529413,-0.015104274141928086,0.00025504465296780077
8,0.64262548423295,0.4859219095895839,0.6666666666666666,0.0,0.11764705882352941,-0.03597432117025865,-0.00038127653337557965
9,0.64262548423295,0.4752689333207214,1.0,0.0,0.17647058823529413,-0.027243126907448716,0.0009492587009617415
10,0.64262548423295,0.4812044024931126,1.0,0.0,0.058823529411764705,-0.03760747803236923,-0.027306686692758875
