generation,avg_child_fitness,avg_elite,avg_off,avg_mut,avg_rand,best_fit,delta_best,mean_offspring_gain,mean_mutant_gain
1,0.6481558607535542,0.6950315754241561,0.6429474480123764,0.0,0.0,0.7126772050814484,0.0,-0.053513227447758785,0.0
2,0.6571892682613777,0.7042481529626644,0.6519605032945679,0.0,0.0,0.7174688666824963,0.004791661601047936,-0.0574986195262358,0.0
3,0.6929133091783498,0.7125408936757331,0.6907324664564184,0.0,0.0,0.7226662157061373,0.005197349023640996,-0.025316648640582112,0.0
4,0.6852660239063181,0.7192013163570433,0.6814954358562375,0.0,0.0,0.7226662157061373,0.0,-0.04040080221676784,0.0
