pattern,algorithm,split,run,usage_bb,concave_hull,rest_length
rand_04EGGDPALT_specification,NFP,True,2,0.0,0.0,0.0
rand_04IMMO8WDD_specification,BL,False,0,0.426832673245614,0.6619851266539104,84.0
rand_04IMMO8WDD_specification,BL,False,1,0.4054910395833333,0.5589697751091628,84.0
rand_04IMMO8WDD_specification,BL,False,2,0.4386005043206019,0.578569623835692,84.0
rand_04IMMO8WDD_specification,NFP,False,0,0.48177064492863725,0.6237424523715418,3.938999999999993
rand_04IMMO8WDD_specification,NFP,False,1,0.3922397490115328,0.5820934363197962,10.462999999999994
rand_04IMMO8WDD_specification,NFP,False,2,0.39805854525804985,0.5552950837664955,0.9989999999999952
rand_04IMMO8WDD_specification,BL,True,0,0.29191703785826756,0.6599209297998219,48.0
rand_04IMMO8WDD_specification,BL,True,1,0.25422134303774163,0.6384554069038175,34.0
rand_04IMMO8WDD_specification,BL,True,2,0.26204624336196986,0.628815519885782,38.0
rand_04IMMO8WDD_specification,NFP,True,0,0.5196534406579743,0.6143521745817442,6.516999999999996
rand_04IMMO8WDD_specification,NFP,True,1,0.4502339232652803,0.6191909473670997,6.930000000000007
rand_04IMMO8WDD_specification,NFP,True,2,0.47369525151284625,0.5675999454063009,31.685000000000002
rand_05AG183QLC_specification,BL,False,0,0.0,0.0,0.0
rand_05AG183QLC_specification,BL,False,1,0.0,0.0,0.0
rand_05AG183QLC_specification,BL,False,2,0.0,0.0,0.0
rand_05AG183QLC_specification,NFP,False,0,0.5031023806840959,0.663155243406222,6.9599999999999795
rand_05AG183QLC_specification,NFP,False,1,0.5276435790756652,0.6837384267733608,8.421999999999997
rand_05AG183QLC_specification,NFP,False,2,0.49868757133329394,0.6262458250966961,3.826999999999998
rand_05AG183QLC_specification,BL,True,0,0.0,0.0,0.0
rand_05AG183QLC_specification,BL,True,1,0.0,0.0,0.0
rand_05AG183QLC_specification,BL,True,2,0.41963429670071956,0.5274097499289626,10.0
rand_05AG183QLC_specification,NFP,True,0,0.506655246639384,0.6656522266261953,3.5120000000000005
rand_05AG183QLC_specification,NFP,True,1,0.5601824180775993,0.6314171175944886,6.9909999999999854
rand_05AG183QLC_specification,NFP,True,2,0.5855830781576312,0.6613480384144863,37.56399999999999
rand_05H6WP8PJX_specification,BL,False,0,0.3088650607379224,0.7024523063572922,68.0
rand_05H6WP8PJX_specification,BL,False,1,0.45706069231071683,0.7192998638581816,82.0
rand_05H6WP8PJX_specification,BL,False,2,0.5069704053408973,0.7236346381610409,86.0
rand_05H6WP8PJX_specification,NFP,False,0,0.519352645317227,0.6148887575692062,4.9269999999999925
rand_05H6WP8PJX_specification,NFP,False,1,0.5137363974211652,0.6762121339324573,26.329999999999984
rand_05H6WP8PJX_specification,NFP,False,2,0.6017729243663859,0.70136658414257,10.25800000000001
rand_05H6WP8PJX_specification,BL,True,0,0.3300884930111377,0.6927878772898315,60.0
rand_05H6WP8PJX_specification,BL,True,1,0.3194447144173425,0.7006026761045113,58.0
rand_05H6WP8PJX_specification,BL,True,2,0.37803513691164103,0.6445557007499612,70.0
rand_05H6WP8PJX_specification,NFP,True,0,0.6102300597708166,0.7203213497576629,40.836
rand_05H6WP8PJX_specification,NFP,True,1,0.5695219146339741,0.6823077874077479,32.187
rand_05H6WP8PJX_specification,NFP,True,2,0.552452796068009,0.6320476038154688,29.441000000000003
rand_05PQL1BU0S_specification,BL,False,0,0.2378906233696919,0.6802058519472168,42.0
rand_05PQL1BU0S_specification,BL,False,1,0.24862269390523867,0.6867901192480564,46.0
rand_05PQL1BU0S_specification,BL,False,2,0.2726274395378841,0.6542621137922134,42.0
rand_05PQL1BU0S_specification,NFP,False,0,0.614337708699171,0.7356952848812007,3.2849999999999966
rand_05PQL1BU0S_specification,NFP,False,1,0.49611258581244205,0.6593164209867679,1.0649999999999977
rand_05PQL1BU0S_specification,NFP,False,2,0.5256358418630728,0.697105759102426,32.25
rand_05PQL1BU0S_specification,BL,True,0,0.29300366774919917,0.6361048359073732,44.0
rand_05PQL1BU0S_specification,BL,True,1,0.0,0.0,0.0
rand_05PQL1BU0S_specification,BL,True,2,0.22972501691210517,0.6225986731156639,18.0
