population_size,elite_size,mutation_rate,pmx,generations,allow_dups,generation,best_fitness,avg_child_fitness,survival_rate,delta_best,success_ratio,crossover_gain,mutation_gain
10,3,0.1,False,150,False,1,0.4804647466990329,0.3539675511520013,1.0,0.0,0.14285714285714285,-0.014652894961157384,-0.04716540600490754
10,3,0.1,False,150,False,2,0.4804647466990329,0.3716327476899239,0.6666666666666666,0.0,0.14285714285714285,0.014846770155567266,0.0
10,3,0.1,False,150,False,3,0.4804647466990329,0.4272600741282587,0.6666666666666666,0.0,0.42857142857142855,0.027567542232156413,0.0
10,3,0.1,False,150,False,4,0.5259403982399293,0.40281999219136316,0.3333333333333333,0.045475651540896445,0.2857142857142857,-0.03687904152207126,0.0
10,3,0.1,False,150,False,5,0.5459878695609798,0.4154221598151744,0.6666666666666666,0.020047471321050447,0.2857142857142857,0.03273348248716553,0.0
10,3,0.1,False,150,False,6,0.5829488687940708,0.4094795851793243,0.6666666666666666,0.03696099923309104,0.2857142857142857,-0.030922179755813604,0.0
10,3,0.1,False,150,False,7,0.5829488687940708,0.4160172965218506,1.0,0.0,0.2857142857142857,0.008699847652537134,0.0
10,3,0.1,False,150,False,8,0.5829488687940708,0.4314158082723663,0.3333333333333333,0.0,0.14285714285714285,-0.02407101893581714,0.0
10,3,0.1,False,150,False,9,0.5829488687940708,0.4624872313101398,1.0,0.0,0.0,-0.00676035089516676,0.0
10,3,0.1,False,150,False,10,0.5829488687940708,0.5077917129058656,0.3333333333333333,0.0,0.2857142857142857,-0.005955172926205335,-0.01474093505223173
10,3,0.1,False,150,False,11,0.5829488687940708,0.4973342918189649,1.0,0.0,0.0,-0.022856745977473465,-0.017371399814126498
10,3,0.1,False,150,False,12,0.5829488687940708,0.5256044751312609,1.0,0.0,0.0,0.0036900626873839692,-0.0018420125672004573
10,3,0.1,False,150,False,13,0.5829488687940708,0.5291115254488978,1.0,0.0,0.14285714285714285,-0.010500767877385131,0.0
10,3,0.1,False,150,False,14,0.5829488687940708,0.5468935205732796,0.6666666666666666,0.0,0.0,0.0022049269674518607,0.0
10,3,0.1,False,150,False,15,0.5829488687940708,0.5523513840072818,1.0,0.0,0.2857142857142857,-0.00033929672930061675,0.0037727698918903485
10,3,0.1,False,150,False,16,0.5829488687940708,0.5554582979539632,1.0,0.0,0.14285714285714285,-0.014527370213950739,0.0
