population_size,elite_size,mutation_rate,pmx,generations,allow_dups,best_fitness,avg_child_fitness,success_ratio,survival_rate,delta_best,crossover_gain,mutation_gain,elapsed_sec
10,3,0.1,True,10,True,0.5795122101916735,0.5179432767682669,0.42857142857142855,0.3333333333333333,0.0,0.030425616500580004,-0.06953679354545672,35.626991271972656
10,3,0.1,True,10,False,0.5897989459397606,0.47538010431752203,0.2857142857142857,0.6666666666666666,0.0,-0.03221654928249622,0.0,33.64747381210327
10,3,0.1,True,15,True,0.6183001384446043,0.5734277100884976,0.0,0.6666666666666666,0.0,-0.02876286693069869,0.0,59.20470595359802
10,3,0.1,True,15,False,0.6403605881372548,0.4834763808144027,0.0,1.0,0.0,-0.03183701625390858,0.0,63.29910326004028
10,3,0.1,False,10,True,0.6458057950495415,0.5594390072669384,0.14285714285714285,0.6666666666666666,0.0,-0.042462300338011516,0.0,46.31559991836548
10,3,0.1,False,10,False,0.6235098076856622,0.5324058158228911,0.14285714285714285,1.0,0.0,-0.0026175266067167214,0.0,38.587878942489624
10,3,0.1,False,15,True,0.593788909,0.521080063,0.0,1.0,0.0,-0.016157521333333362,-0.07775807141666669,56.439143896102905
10,3,0.1,False,15,False,0.7085196981832685,0.48702191353159385,0.0,1.0,0.0,-0.0642827108588202,0.0,57.56602215766907
10,3,0.2,True,10,True,0.6055237388688273,0.5087313047830332,0.2857142857142857,1.0,0.0,-0.021005563616440848,0.003183045124604794,44.49850106239319
10,3,0.2,True,10,False,0.6443134511601224,0.5276685824624952,0.42857142857142855,0.3333333333333333,0.03812309995517149,0.034532190430325786,0.0014639602249743033,42.10485100746155
10,3,0.2,True,15,True,0.5734588542303193,0.49638524629182973,0.0,1.0,0.0,-0.003637950238585763,-0.03290239352702465,57.7546010017395
10,3,0.2,True,15,False,0.6047849999074074,0.49796832562413945,0.0,1.0,0.0,-0.002682729937513617,-0.08592228343487525,75.38556480407715
10,3,0.2,False,10,True,0.583185535625,0.5076428873369544,0.0,1.0,0.0,-0.03793166547340997,0.0,36.39175868034363
10,3,0.2,False,10,False,0.58895774218249,0.48160740987347317,0.14285714285714285,1.0,0.0,-0.006478906548783858,-0.11219319820565304,45.90260195732117
10,3,0.2,False,15,True,0.6059070499999999,0.48172458809853863,0.14285714285714285,0.6666666666666666,0.0,-0.004088549481872904,0.0005079942962861184,56.52128791809082
10,3,0.2,False,15,False,0.6109748540397792,0.4868281277631795,0.2857142857142857,1.0,0.0,-0.024056547902066055,0.0,66.60401105880737
10,3,0.3,True,10,True,0.6236833563343027,0.48832958419929173,0.0,1.0,0.0,-0.07457036596355879,0.002918212303212875,40.91014313697815
10,3,0.3,True,10,False,0.641232664561058,0.4919755725913258,0.14285714285714285,1.0,0.0,-0.036470756507673396,-0.04379234182890629,43.56156802177429
10,3,0.3,True,15,True,0.6140477972158536,0.5629237634499479,0.14285714285714285,0.6666666666666666,0.0,0.01808792287057717,0.0,68.40664291381836
10,3,0.3,True,15,False,0.6995567362377223,0.5405055065270769,0.2857142857142857,0.6666666666666666,0.0,-0.010592752577970432,-1.1102230246251565e-16,63.66117000579834
10,3,0.3,False,10,True,0.6167387677571358,0.503059259358073,0.0,1.0,0.0,-0.030176379625954746,-0.1047035986102205,34.791512966156006
10,3,0.3,False,10,False,0.5992365136697249,0.5047477790835101,0.14285714285714285,1.0,0.0,0.0265909260982681,-0.09933907196747058,45.373603105545044
10,3,0.3,False,15,True,0.606348987290644,0.5212780144948302,0.2857142857142857,0.6666666666666666,0.0,0.013098963715051553,-0.007419950750116783,76.1290397644043
10,3,0.3,False,15,False,0.6125910559584528,0.5219724040266766,0.14285714285714285,1.0,0.0,-0.004253038988703471,-0.06780301740362767,59.837284088134766
10,5,0.1,True,10,True,0.629110610167206,0.5252169907023388,0.0,0.6,0.0,-0.028276760631064234,0.0,30.34633183479309
10,5,0.1,True,10,False,0.5992365136697249,0.4978518324037006,0.0,1.0,0.0,-0.01364950530982234,-0.09182667688340457,30.39974021911621
10,5,0.1,True,15,True,0.6061220602744424,0.5534876933936327,0.0,0.8,0.0,-0.023856813572765912,0.0,42.47302508354187
10,5,0.1,True,15,False,0.6104371961682242,0.5646735420540916,0.0,1.0,0.0,-0.013782213047495783,0.0,54.12314295768738
10,5,0.1,False,10,True,0.6553421286163877,0.523414660468682,0.2,0.8,0.0,-0.033752757277125255,0.002838489268115363,30.074424028396606
10,5,0.1,False,10,False,0.6224202400419288,0.4741997823783894,0.0,1.0,0.0,-0.051098410764660505,0.0,27.35155200958252
