avg_child_fitness,avg_elite,avg_mut,avg_off,avg_rand,best_fit,delta_best,generation,mean_mutant_gain,mean_offspring_gain,mut_gain_design_param,mut_gain_insertion,mut_gain_inversion,mut_gain_rotate,mut_gain_scramble,mut_gain_split,mut_gain_swap
0.1289791574836568,0.1289791574836568,0.0,0.0,0.1289791574836568,0.7587528359037964,0.0,0,0.0,0.0,,,,,,,
0.44828548906022536,0.5944762143686477,0.6837533720845499,0.3663938013525839,0.1485185684351201,0.7855958443402066,0.026843008436410187,1,-0.06388941893159192,-0.3947709789882943,,-0.004822183997009066,0.03730624018324308,-0.24049830430709507,0.005877537077632648,,
0.5081158887022291,0.7680362265978855,0.6034017147434453,0.5183748982283569,0.14265071523922873,0.7855958443402066,0.0,2,-0.1692108136325682,-0.2606646580504523,-0.24577576661758074,,-0.04336317696389069,-0.015027050895117577,,-0.2240976521534828,-3.3306690738754696e-16
0.5362356186470117,0.7763497837917628,0.6859518069752082,0.6068033502138823,0.0758375336071944,0.7890714362227871,0.0034755918825805088,3,-0.09338924426929435,-0.17214798379052682,-0.39991635708405976,,,-0.03435161557675015,-0.00718538908212385,-0.04078609979655301,-0.011137808746818273
0.55273287529149,0.7820845926838381,0.6773806827776306,0.6014705447006332,0.14999568100385754,0.8153667773923187,0.026295341169531583,4,-0.10491282822491779,-0.18537689552305767,0.0023383061617459067,-0.027914875209120393,,-0.19506445803161726,,-0.10885865601397998,
0.5220834605375746,0.78893856656644,0.692673421351589,0.5323517431453986,0.07437011108687099,0.8158393561326727,0.0004725787403540016,5,-0.0999625960956879,-0.2579037581913141,-0.3937076711772114,,,-0.031584662651549765,-0.0221825533522569,,-0.025454485295518137
0.5931502889521558,0.7955066388762339,0.6856944374953452,0.5817807643927921,0.309619315044252,0.8158393561326727,0.0,6,-0.1154660866770885,-0.2150524692662786,-0.7855958443402066,-0.054173032606114724,-0.04899995998564488,-0.031275298852340594,-0.0331239233584012,-0.042376017672745715,-0.025364794624295084
0.4846801004319091,0.8009409385905528,0.3830814206517922,0.537576048063994,0.2171219944212969,0.8158393561326727,0.0,7,-0.41236962286406253,-0.27074085309375345,-0.5982655541764184,,,-0.7874153423544228,-0.40006449207159345,-0.04769656181244767,
0.549558868015314,0.8030486885790836,0.6772347025440666,0.35084714437958275,0.3671049365585222,0.8158393561326727,0.0,8,-0.12630610202339504,-0.4553485137811073,,-0.8153667773923187,,-0.05349613836396286,,-0.04674193787715604,
0.5151791746522727,0.8067181805555299,0.5544836945694379,0.39878227256569587,0.300732550918427,0.8175022322215644,0.0016628760888917071,9,-0.2556927458364158,-0.41297296147931206,-0.324008791274799,-0.033326775455562674,,,-0.8046771789816765,-0.032776386048680606,
0.5272440870052122,0.8119215216538971,0.3844067773353399,0.5435353869607378,0.36911266207087345,0.8175022322215644,0.0,10,-0.43016218105325416,-0.27223253197519665,-0.42500112787356153,,-0.03015478629211532,-0.4369790704473411,,-0.5578494955679797,
0.49771651045585197,0.812384059961105,0.5559977850268725,0.47100725639608576,0.15147694043934454,0.8175022322215644,0.0,11,-0.2562896495816198,-0.3439418518298434,0.0,,-0.027135981649306862,-0.8156030667624956,-0.8093025620537566,-0.023812954647035894,
0.5073291224766405,0.8139628159834128,0.5372842071250611,0.386160672389781,0.2949043028731495,0.8214239986402201,0.003921766418655714,12,-0.27628534038744595,-0.42889707561641927,-0.40768338869615933,0.0020190737493004742,,-0.8158393561326727,-0.046052373817605075,,
0.5121741630817749,0.8161600955778001,0.5483335042665098,0.39154229558296644,0.2926607568998234,0.8214239986402201,0.0,13,-0.268385055562045,-0.4261387409108597,-0.40768338869615933,-0.03846117691261508,,-0.06797698063426316,,-0.1895034917021265,-0.814528162170621
0.4403880182400551,0.8164575025828944,0.5539480958803177,0.3162688335331286,0.07487764096387968,0.8214239986402201,0.0,14,-0.2617007933207631,-0.5015784905695865,-0.20395983903316817,,,-0.8175022322215644,-0.04420616925052626,-0.035208480969142975,-0.8158393561326727
0.5328174066095624,0.8166358798531348,0.5472166833448205,0.5381316833320187,0.22928537990827608,0.8214239986402201,0.0,15,-0.2692529088994252,-0.2794897517377202,-0.8158393561326727,,-0.030756419622488096,-0.4367037467204957,0.0,-0.03418095336731031,
