avg_child_fitness,avg_elite,avg_mut,avg_off,avg_rand,best_fit,delta_best,generation,mean_mutant_gain,mean_offspring_gain,mut_gain_insertion,mut_gain_rotate,mut_gain_scramble,mut_gain_swap
0.6991220429171043,0.7350284648930894,0.7090566218224323,0.679472947247596,0.7020736879978442,0.7658982822383734,0.0,1,-0.02634793384353832,-0.059123953559919395,-0.034926673240403106,-0.021329707956575253,-0.027385829473629456,-0.034102568062908546
0.7130014816847033,0.748348625954418,0.7157747884349147,0.7053665944614095,0.6971006593073222,0.766619202445715,0.0007209202073416021,2,-0.03434946728136741,-0.04639249257098002,-0.02780782381565894,-0.03254314952346479,-0.03707856735625616,-0.03305662269838294
0.7180881101964833,0.758089249581027,0.7220782167853768,0.7118101525821295,0.6872383749137864,0.7766414662952935,0.010022263849578494,3,-0.037771723050030695,-0.05232868662632312,-0.03843494187092289,-0.03712322891357384,-0.037523232330191426,-0.039482697693727746
0.7244113214934537,0.7649580585634632,0.7264909422524464,0.7208750757713804,0.6896910842757655,0.7766414662952935,0.0,4,-0.03869021690829192,-0.04474926827694391,-0.042476362122532495,-0.06632556639461429,-0.029205218482496215,-0.03404174425038899
0.7277879347888146,0.7696096837614239,0.7234743041896455,0.7346123681294816,0.6759229748502149,0.8042228920353398,0.027581425740046295,5,-0.0460235006830661,-0.03703832611686673,-0.04416449824036681,-0.04734476574862971,-0.045705214950122086,-0.04621015306030467
0.7459801276282413,0.7780137686092939,0.7462634980768855,0.7533952258458,0.6831526119823768,0.8042228920353398,0.0,6,-0.030886948230909938,-0.028954372788500226,-0.005948810457273202,-0.03959406915343623,-0.027973187198640444,-0.03476288948545434
0.7551062211365657,0.7843326276503358,0.7485076346769991,0.7728995192926786,0.6811009678366083,0.8042228920353398,0.0,7,-0.03464254403635861,-0.020078047581815965,-0.040454817605095034,-0.0338814341408366,-0.03074242621874814,-0.048523241390795134
0.7590015707676686,0.8012199306250596,0.7421722032027785,0.7838988917999253,0.6845113970408109,0.8042228920353398,0.0,8,-0.05979846777485115,-0.01995106881072072,-0.045753523660565815,-0.07720746435148411,-0.05350274830822207,-0.05329888390030246
0.7584668520379841,0.8042228920353398,0.7345638797891298,0.7876594211745137,0.6915524244899248,0.8042228920353398,0.0,9,-0.06965901224621002,-0.01656347086082649,-0.03186323518932821,-0.0767583182810786,-0.06693441090374827,-0.049582668484451586
0.7597773182477838,0.8042228920353398,0.7336900047507297,0.7919234520226565,0.6910964633489552,0.8042228920353398,0.0,10,-0.07053288728461031,-0.012299440012683755,-0.06600885087032377,-0.09015254632516223,-0.06290939771269508,-0.051825346632550784
0.7622358305284206,0.8042228920353398,0.7435375017577863,0.7912132405278441,0.6791324441063421,0.8042228920353398,0.0,11,-0.06068539027755336,-0.01300965150749587,-0.053532310064112076,-0.07515019436985125,-0.04573762662072614,-0.06849804665796592
0.7632632615856731,0.8042228920353398,0.738617353363322,0.7972512118308189,0.684935463044827,0.8042228920353398,0.0,12,-0.0656055386720177,-0.006971680204521302,-0.04697713208561083,-0.07914217605832222,-0.059528949448897875,-0.05409081205649388
0.7593455884375782,0.8042228920353398,0.7247255165471764,0.7971803271000583,0.7016096177515015,0.8042228920353398,0.0,13,-0.07949737548816328,-0.007042564935281964,-0.058314219168121594,-0.08544195729272941,-0.07752917832964012,-0.08264794999808633
0.7676445086654985,0.8042228920353398,0.7505532565565041,0.7944168604864157,0.6923417264479633,0.8042228920353398,0.0,14,-0.053669635478835756,-0.009806031548924565,-0.09009450564623134,-0.07163240388885327,-0.03933311671855476,-0.06324843137716615
0.7553829951724161,0.8042228920353398,0.7301080143331407,0.8018090301018648,0.6219388819487917,0.8042228920353398,0.0,15,-0.07411487770219907,-0.002413861933475539,-0.09242656658135318,-0.08957022536402948,-0.062283770755737294,-0.07192243965018306
