avg_child_fitness,avg_elite,avg_mut,avg_off,avg_rand,best_fit,delta_best,generation,mean_mutant_gain,mean_offspring_gain,mut_gain_inversion,mut_gain_split,mut_gain_swap
0.733126656137205,0.7578373698234296,0.7497507956053011,0.7148082504972764,0.7151930071383085,0.7685483238514469,0.0,1,-0.005048049280458863,-0.049507271474857416,-0.018018573099438846,5.895217062068525e-06,-0.0038212057844853836
0.7339442120671499,0.7635512700547092,0.7446125038042462,0.7180864307672519,0.7250951123307978,0.7737796182964158,0.005231294444968948,2,-0.018409875343947432,-0.04819701019279589,-0.024633501547926075,-0.007261271706699613,-0.02251402320500508
0.7337536037104063,0.7685191676407452,0.735429338146417,0.7270907544371387,0.7189364991290943,0.7851005495293725,0.011320931232956633,3,-0.03176742777773522,-0.04309234892836109,-0.03924048483076614,-0.016810415749253627,-0.030939509865713945
0.736004582543117,0.7739942038821706,0.7447722567535091,0.7193158702687495,0.7296991134599644,0.7851005495293725,0.0,4,-0.029875858934282483,-0.060177860040583175,-0.040528488023788,-0.02674257190558331,-0.025489803902175312
0.7349172960820687,0.7783182797996173,0.7348113968368672,0.7292980359319938,0.7144169499456254,0.7851005495293725,0.0,5,-0.04283634505558333,-0.05132906309804094,-0.036845198397257084,-0.0368402299097742,-0.050540667469855034
0.7447844170635172,0.7832341669191425,0.7422626211198272,0.7433438864614563,0.7221839733908942,0.7851005495293725,0.0,6,-0.0405049501467578,-0.04175666306791631,,-0.007363416189304495,-0.05556928376378203
0.7514566667331306,0.7851005495293725,0.7536426943918206,0.7495495385318433,0.7166971861072797,0.7983530045415047,0.013252455012132236,7,-0.03145785513755174,-0.03555101099752926,-0.06341985060443911,-0.018015182028629912,-0.04286986854685608
0.7595878119986484,0.7898228114890455,0.7620992687960935,0.753581304481649,0.7433330153864698,0.7983530045415047,0.0,8,-0.027033944163931657,-0.04210400661101504,-0.029067979357594975,-0.027317125598029637,-0.025978357187246576
0.7554020267157593,0.7983530045415047,0.7639323529014643,0.7452914678531626,0.71877197959758,0.7987964827375574,0.00044347819605272676,9,-0.03442065164004065,-0.0530615366883421,-0.05966909555177358,-0.020487852211111306,-0.040903801935800996
0.7562770584022647,0.7984638856568296,0.7523069652725206,0.7550180076844272,0.7350068065380273,0.7987964827375574,0.0,10,-0.04618462909682866,-0.04358447069182476,-0.0464180040175697,-0.01847130575828586,-0.06908458611166346
