avg_child_fitness,avg_elite,avg_mut,avg_off,avg_rand,best_fit,delta_best,generation,mean_mutant_gain,mean_offspring_gain,mut_gain_inversion,mut_gain_split,mut_gain_swap
0.7461677213879266,0.7859629572869912,0.7435502385317654,0.7451067669613265,0.7210862346199067,0.8239810558244358,0.0,1,-0.04116886826193562,-0.051181108909680986,-0.05314407518815485,-0.0430321606695624,-0.03132210457016268
0.7631519414028277,0.8035261433986257,0.7689492100853565,0.7489512774277017,0.7563913205774234,0.8274538713960706,0.003472815571634813,2,-0.032949408015615814,-0.060839979240585706,-0.0446186703568145,-0.02187084121362027,-0.03961508296846165
0.7644160682870996,0.8159798927016577,0.7653669688121986,0.7618938007396331,0.719137711962017,0.8349819725083444,0.007528101112273755,3,-0.04732920333527792,-0.05867773436162732,-0.052136915145857346,-0.037393686643962386,-0.05405957881954048
0.7679668969006347,0.8233325978278705,0.7707515443235678,0.7561251454933737,0.748829611910711,0.8349819725083444,0.0,4,-0.0520864793059278,-0.06923436281851647,-0.05248951479266323,-0.049755831666742786,-0.05319047802952493
0.7659141913274132,0.8258471440900775,0.7691747695910792,0.7554537262447237,0.734780785840847,0.8376354531918085,0.00265348068346416,5,-0.05592777239502219,-0.07350422252734548,-0.052768178264070445,-0.0565122473454549,-0.05676947330476243
0.7721961328957085,0.8278000216197201,0.7713494019864883,0.7676473663335014,0.7381742340574104,0.8390585778132882,0.0014231246214796434,6,-0.057007683654491194,-0.06291459758878504,-0.051552999238808225,-0.04407993367150271,-0.07925881634697161
0.7729272212905279,0.8328865340571163,0.7809810741272027,0.7616123452900339,0.7260120011792146,0.8390585778132882,0.0,7,-0.051851566403346136,-0.07420152995044599,-0.057954768636050154,-0.05373231870896995,-0.04744164417737695
0.7790295270612786,0.8356841140048907,0.7811613548520445,0.7721567765042084,0.7413386311828857,0.8425289107487414,0.0034703329354531798,8,-0.05471424072679258,-0.06533712590863819,-0.06353119823472994,-0.03766275332564059,-0.07615139395793032
0.780260211442982,0.8384612298546035,0.7761895758942046,0.7790886926965281,0.7430278102122859,0.8425289107487414,0.0,9,-0.062296893820768154,-0.060358871880086665,-0.07189982553702629,-0.04450434879399979,-0.07186757030102882
0.7736841478295013,0.8402306144358838,0.7726366865029487,0.7640408764193396,0.7499006121699797,0.8425289107487414,0.0,10,-0.06762938345514766,-0.07744181594319263,-0.05304920995119601,-0.07000305400192272,-0.07533102676165597
