Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5872995691065918,0.48236757414752535,0.3333333333333333,0.003401678054508084,0.23529411764705882,-0.003682466862463619,0.05819933162926366
2,0.5872995691065918,0.47662768737070244,0.6666666666666666,0.0,0.23529411764705882,-0.009458030943107432,-0.013570527603105694
3,0.5872995691065918,0.4794150153553581,1.0,0.0,0.29411764705882354,0.001312529073082759,-0.010962052870578332
4,0.5872995691065918,0.47846352030632566,0.6666666666666666,0.0,0.11764705882352941,-0.013689775116469257,-0.021789191798722407
5,0.5872995691065918,0.4755707613208949,1.0,0.0,0.11764705882352941,-0.0142455073439078,-0.031334692939555785
6,0.6085703072183053,0.47978160100574707,0.6666666666666666,0.02127073811171354,0.11764705882352941,-0.005867008751388899,0.0020581782133216597
7,0.6125934118485311,0.4790132241062842,0.6666666666666666,0.0040231046302258155,0.23529411764705882,0.0006982392004065467,-0.0004776643155061655
8,0.6125934118485311,0.478212453241719,1.0,0.0,0.17647058823529413,-0.014805000619050823,5.9604969113086215e-05
9,0.6125934118485311,0.49206721531019987,1.0,0.0,0.11764705882352941,-0.00692781509574617,-0.016694730207570525
10,0.6125934118485311,0.47999762147142894,1.0,0.0,0.058823529411764705,-0.03683634898764309,0.006323888535965078
