avg_child_fitness,avg_elite,avg_mut,avg_off,avg_rand,best_fit,delta_best,generation,mean_mutant_gain,mean_offspring_gain,mut_gain_insertion,mut_gain_inversion,mut_gain_rotate,mut_gain_scramble,mut_gain_split,mut_gain_swap
0.6837152010881042,0.6837152010881042,0.0,0.0,0.6837152010881042,0.7771756540176354,0.0,0,0.0,0.0,,,,,,
0.6968738620541758,0.747323048718861,0.6974069028130832,0.6857251395107342,0.6888874025276271,0.7771756540176354,0.0,1,-0.04662467296718377,-0.0660399526068619,-0.01872084307754964,-0.10228078007219876,-0.04250903145753901,-0.05619763479560935,-0.07149247263043651,-0.008341368874338867
0.6975686820662186,0.7588817166051927,0.6979980894899994,0.6833857486703041,0.6912697514157802,0.7771756540176354,0.0,2,-0.061560442618472586,-0.08250988211347376,-0.0339538274892622,-0.04329889107237354,-0.0790428179104497,-0.05843691241285895,-0.07320478463010183,-0.04340261785480529
0.6990782114912752,0.7612532004288519,0.7033374362560686,0.6826913970436644,0.6854135812849738,0.7771756540176354,0.0,3,-0.059569831613853506,-0.08373584501170708,-0.03157035604528981,-0.10363545211023006,-0.08694041100903616,-0.04268606928129901,-0.06892245534145891,-0.04897228662156218
0.6968638948310395,0.764655563119334,0.6918791617155362,0.6830792033399467,0.7041499249691319,0.7771756540176354,0.0,4,-0.07118095841962598,-0.08655676458719581,-0.05651593969707713,-0.07732715277390385,-0.07515562375600945,-0.05775480174009063,-0.088964068665196,-0.061176549578116635
0.6955367704087324,0.7663641162298084,0.6934813001656773,0.6857124573073856,0.672228557965263,0.7771756540176354,0.0,5,-0.07198173564934722,-0.08617215042040885,-0.02547126978236385,-0.051091220915609914,-0.06987453563674616,-0.06862650020856864,-0.09541275578584552,-0.07680225556135362
0.6952110010752155,0.7675268234828935,0.6973274266503304,0.6828527588369891,0.6638624453199843,0.7771756540176354,0.0,6,-0.06952657686081348,-0.08904020940428206,-0.039664866254788746,-0.06224036516908665,-0.07044626003904768,-0.06877249891336379,-0.08739535626878386,-0.022884024554554128
0.6958864811677767,0.7691327208166472,0.6939924146698802,0.6851837987918181,0.6730272370143273,0.7771756540176354,0.0,7,-0.07582757599962808,-0.0882894488889164,-0.044976884334886724,-0.040168959004241445,-0.07176253140766294,-0.046707655527331436,-0.09862153169649232,-0.06059970075035126
0.6985542971765208,0.7691530988992054,0.6905739537376011,0.6894613853204108,0.6962485166339588,0.7771756540176354,0.0,8,-0.07779574089647862,-0.08382213572719446,-0.07888508714107367,-0.07907059028702597,-0.08023985044809222,-0.07179062419108743,-0.0864216732581066,-0.04210211590992733
0.6990225454558089,0.7707011967085124,0.6923749260326589,0.6907445328392268,0.6870464223620351,0.7809410210986374,0.003765367081001947,9,-0.07600247083943057,-0.08396121816239106,-0.04186019938592004,-0.0648009046717947,-0.10580093241133973,-0.0679275110390336,-0.09924525061669404,-0.06556751348521139
