generation,chromosome,chromosome_origin,last_mutation,parameter,old_value,new_value,fitness
1,9,offspring,design_param,left.sleeve.cuff.top_ruffle.v,1.0,1.019835026015508,0.7380157435119403
1,10,offspring,design_param,left.sleeve.cuff.skirt_ruffle.v,1.0,1.3492423367612814,0.8032714732957152
1,11,offspring,design_param,pants.cuff.cuff_len.v,0.1,0.40459388719366696,0.7624156062947978
1,13,offspring,design_param,left.shirt.width.v,1.05,1.1376682841531027,0.7193551345658885
1,14,offspring,design_param,left.collar.fc_angle.v,95.0,109.0,0.8032714732957152
1,15,offspring,design_param,skirt.flare.v,0.0,2.0,0.7658851977444195
1,16,offspring,design_param,pants.cuff.top_ruffle.v,1.0,1.1740399687609413,0.8032714732957152
1,18,mutant,design_param,sleeve.cuff.top_ruffle.v,1.0,1.0004655397825066,0.7380157435119403
1,19,mutant,design_param,sleeve.smoothing_coeff.v,0.25,0.3313156203533471,0.8032714732957152
1,21,mutant,design_param,left.sleeve.sleeve_angle.v,10.0,16.0,0.729810264870813
1,22,mutant,design_param,flare-skirt.asymm.front_length.v,0.5,0.8095950777902959,0.729810264870813
1,23,mutant,design_param,skirt.length.v,0.2,0.37236308293060255,0.729810264870813
1,24,mutant,design_param,left.sleeve.cuff.skirt_flare.v,1.2,1.342443419615887,0.729810264870813
1,26,mutant,design_param,shirt.flare.v,1.0,0.890770504928179,0.7331612684529878
2,2,offspring,design_param,left.sleeve.cuff.skirt_ruffle.v,1.0,1.3492423367612814,0.8032714732957152
2,3,offspring,design_param,left.collar.fc_angle.v,95.0,109.0,0.8032714732957152
2,4,offspring,design_param,pants.cuff.top_ruffle.v,1.0,1.1740399687609413,0.8032714732957152
2,5,mutant,design_param,sleeve.smoothing_coeff.v,0.25,0.3313156203533471,0.8032714732957152
2,9,offspring,design_param,left.collar.fc_angle.v,95.0,109.0,0.8032714732957152
2,9,offspring,design_param,levels-skirt.base_length_frac.v,0.5,0.6595150095369796,0.8032714732957152
2,10,offspring,design_param,flare-skirt.suns.v,0.75,0.6786797054158411,0.8032714732957152
2,10,offspring,design_param,left.collar.fc_angle.v,95.0,109.0,0.8032714732957152
2,11,offspring,design_param,collar.b_bezier_x.v,0.15,0.1255351638193382,0.7255620258778988
2,11,offspring,design_param,sleeve.smoothing_coeff.v,0.25,0.3313156203533471,0.7255620258778988
2,12,offspring,design_param,left.collar.fc_angle.v,95.0,109.0,0.8032714732957152
2,13,offspring,design_param,left.collar.fc_angle.v,95.0,109.0,0.8032714732957152
2,13,offspring,design_param,pants.cuff.skirt_fraction.v,0.5,0.7046461958948483,0.8032714732957152
2,14,offspring,design_param,flare-skirt.cut.place.v,-0.5,0.8934084474487158,0.8032714732957152
2,14,offspring,design_param,sleeve.smoothing_coeff.v,0.25,0.3313156203533471,0.8032714732957152
2,15,offspring,design_param,left.collar.fc_angle.v,95.0,109.0,0.8032714732957152
2,15,offspring,design_param,sleeve.cuff.skirt_fraction.v,0.5,0.16204527695413287,0.8032714732957152
2,16,offspring,design_param,left.collar.fc_angle.v,95.0,109.0,0.7331612684529878
2,16,offspring,design_param,shirt.length.v,1.2,2.5668731834864134,0.7331612684529878
2,17,offspring,design_param,left.collar.fc_angle.v,95.0,109.0,0.7270966363380917
2,17,offspring,design_param,left.shirt.width.v,1.05,1.1197173800984719,0.7270966363380917
2,18,mutant,design_param,pants.cuff.skirt_flare.v,1.2,1.973049619976111,0.8032714732957152
2,18,mutant,design_param,left.sleeve.cuff.skirt_ruffle.v,1.0,1.3492423367612814,0.8032714732957152
2,19,mutant,design_param,pants.cuff.top_ruffle.v,1.0,1.1740399687609413,0.8032714732957152
2,20,mutant,design_param,left.collar.fc_angle.v,95.0,109.0,0.8032714732957152
2,20,mutant,design_param,godet-skirt.insert_depth.v,20.0,39.0,0.8032714732957152
2,21,mutant,design_param,left.collar.b_bezier_x.v,0.15,0.5311573432459596,0.8032714732957152
2,21,mutant,design_param,pants.cuff.top_ruffle.v,1.0,1.1740399687609413,0.8032714732957152
2,22,mutant,design_param,pencil-skirt.flare.v,1.0,0.8595733717588371,0.8032714732957152
2,22,mutant,design_param,left.sleeve.cuff.skirt_ruffle.v,1.0,1.3492423367612814,0.8032714732957152
2,25,mutant,design_param,pants.cuff.top_ruffle.v,1.0,1.1740399687609413,0.8032714732957152
2,26,mutant,design_param,left.sleeve.cuff.skirt_ruffle.v,1.0,1.3492423367612814,0.8032714732957152
3,2,offspring,design_param,left.sleeve.cuff.skirt_ruffle.v,1.0,1.3492423367612814,0.8032714732957152
3,3,offspring,design_param,left.collar.fc_angle.v,95.0,109.0,0.8032714732957152
3,4,offspring,design_param,pants.cuff.top_ruffle.v,1.0,1.1740399687609413,0.8032714732957152
3,5,mutant,design_param,sleeve.smoothing_coeff.v,0.25,0.3313156203533471,0.8032714732957152
3,6,offspring,,pants.cuff.top_ruffle.v,1.0,1.1740399687609413,0.8032714732957152
3,7,offspring,design_param,left.collar.bc_angle.v,95.0,104.0,0.8032714732957152
3,8,offspring,design_param,flare-skirt.cut.place.v,-0.5,0.4519736266454868,0.8032714732957152
