Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5275932400019381,0.4672971386799104,0.6,0.0,0.2,0.00901100762079845,-0.06684614534387795
2,0.6173335476829451,0.46746944367854437,0.8,0.08974030768100705,0.2,0.02393490973425888,-0.03989497845643347
3,0.6173335476829451,0.4674087304254348,1.0,0.0,0.0,-0.025186884375918393,0.0
4,0.6173335476829451,0.46778609320626874,0.8,0.0,0.0,-0.043706839054383204,-5.7132550022098716e-05
5,0.6331095988599568,0.497569414541271,0.6,0.01577605117701164,0.6,0.0431036934502244,-0.11546087675477057
6,0.6331095988599568,0.5106830180313722,0.6,0.0,0.2,-0.012461631551153863,-0.03606089274926849
7,0.6363107921414456,0.5140950219408178,0.6,0.0032011932814888233,0.2,-0.0003998108301130898,-0.15011257453098287
8,0.6363107921414456,0.5326463320721376,0.8,0.0,0.0,-0.0331334153242554,0.0
9,0.6363107921414456,0.5161764742251511,1.0,0.0,0.0,-0.06552632234730221,0.0
10,0.6363107921414456,0.5432618056682618,0.4,0.0,0.2,-0.020238630998751683,0.0
