Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.578024601681416,0.4837180019316104,0.3333333333333333,0.0,0.0,-0.02332047120072998,-0.008534156409612248
2,0.578024601681416,0.474886662533269,1.0,0.0,0.2857142857142857,-0.016482174281108517,5.551115123125783e-17
3,0.578024601681416,0.5097466876152322,0.6666666666666666,0.0,0.5714285714285714,0.018812778003966087,0.0
4,0.578024601681416,0.4938765662489069,1.0,0.0,0.14285714285714285,-0.02772834270786981,-0.004244706759066519
5,0.578024601681416,0.484621863449542,1.0,0.0,0.0,-0.0333624712817961,0.0
6,0.578024601681416,0.5084012713224345,0.6666666666666666,0.0,0.42857142857142855,-0.00477768669719701,0.0
7,0.578024601681416,0.4672728297042593,1.0,0.0,0.14285714285714285,-0.04131661744838367,0.0
8,0.578024601681416,0.4826157240458273,0.6666666666666666,0.0,0.2857142857142857,-0.005901909201764223,0.0
9,0.6403605881372548,0.5062743931208312,0.3333333333333333,0.06233598645583882,0.2857142857142857,0.01165709223533669,-5.551115123125783e-17
10,0.6403605881372548,0.48662226638275424,1.0,0.0,0.14285714285714285,-0.040770541321801086,0.0
11,0.6403605881372548,0.48372631672642835,1.0,0.0,0.0,-0.055799958942350715,0.0
12,0.6403605881372548,0.4873693373846387,1.0,0.0,0.2857142857142857,-0.030133686347485405,0.0
13,0.6403605881372548,0.4944892321273855,0.6666666666666666,0.0,0.2857142857142857,-0.011606579280553784,-0.05573808659070792
14,0.6403605881372548,0.4857446108806265,0.6666666666666666,0.0,0.2857142857142857,-0.022912811940060365,0.0
15,0.6403605881372548,0.4834763808144027,1.0,0.0,0.0,-0.03183701625390858,0.0
