Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.6114744318500909,0.48055027088250746,0.6,0.0,0.2,-0.027961535805665794,-0.01430629692636276
2,0.6114744318500909,0.46739942684364333,1.0,0.0,0.0,-0.04854408830343274,-1.1102230246251565e-16
3,0.6114744318500909,0.4762307138688448,0.8,0.0,0.0,-0.027544043358524107,-0.0021990134908114745
4,0.6114744318500909,0.5075856395114465,0.6,0.0,0.4,0.02480821115919062,-0.002151726601184678
5,0.6114744318500909,0.48617900892094024,0.8,0.0,0.0,-0.0573271141492135,-0.000664457757127257
6,0.6114744318500909,0.5131138261408504,0.8,0.0,0.2,-0.04156761706253224,0.0370566416095727
7,0.6114744318500909,0.5204413032908911,0.8,0.0,0.0,-0.015441589009304457,0.0
8,0.6114744318500909,0.4975087173713999,1.0,0.0,0.0,-0.09169629957431237,0.018260881263307133
9,0.6114744318500909,0.5260311675474141,0.6,0.0,0.4,-0.00627796360664804,0.08001143925272847
10,0.6114744318500909,0.4671835521726915,1.0,0.0,0.0,-0.03298279084240345,-0.1169159512386741
11,0.6114744318500909,0.5061696221542331,0.8,0.0,0.0,-0.018104438811951097,0.0
12,0.6114744318500909,0.49057609766524396,1.0,0.0,0.0,-0.04160100177345795,0.0
13,0.6114744318500909,0.5005953126788348,0.8,0.0,0.0,-0.0122806893063919,0.0
14,0.6114744318500909,0.5045515687924248,1.0,0.0,0.0,-0.0633144572641211,0.04371037796329108
15,0.6114744318500909,0.4792554318071267,1.0,0.0,0.0,-0.07434410430979627,0.0
