Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5999684752094804,0.4674287719456195,0.8,0.0,0.2,-0.03612333078844386,0.0
2,0.5999684752094804,0.4679618602583243,0.6,0.0,0.2,0.01857188620921555,0.0
3,0.6104371961682242,0.4759965334719098,0.6,0.010468720958743849,0.2,0.003968479390616364,0.0
4,0.6104371961682242,0.5252364061038322,0.8,0.0,0.2,-0.003052771533290566,0.0
5,0.6104371961682242,0.4671115577969869,1.0,0.0,0.0,-0.1082736272740413,0.0
6,0.6104371961682242,0.5412069752933613,0.6,0.0,0.2,0.02893046787999424,0.008985901276065578
7,0.6104371961682242,0.48516088432438015,1.0,0.0,0.0,-0.042417008942464196,0.0
8,0.6104371961682242,0.49644504886440055,1.0,0.0,0.2,-0.021653915355147924,0.0
9,0.6104371961682242,0.5166311114657925,0.8,0.0,0.0,-0.004350686881066457,0.0
10,0.6104371961682242,0.48983000914193886,1.0,0.0,0.0,-0.02881789365623171,0.0
11,0.6104371961682242,0.5105886401954606,0.8,0.0,0.0,-0.04830467687739195,0.0
12,0.6104371961682242,0.4904260213890922,1.0,0.0,0.0,-0.07994314512959597,0.0
13,0.6104371961682242,0.5044651827734119,0.8,0.0,0.0,-0.050838503887330966,0.0
14,0.6104371961682242,0.550581447795489,1.0,0.0,0.6,0.05009846787889416,0.0
15,0.6104371961682242,0.5646735420540916,1.0,0.0,0.0,-0.013782213047495783,0.0
