mutation_type,avg_gain_total,count_total,avg_gain_early,count_early,avg_gain_mid,count_mid,avg_gain_late,count_late
design_params,-0.055207512519150105,983,-0.04533086597571234,454,-0.06035097043604766,340,-0.03328863128360607,189
insertion,-0.039931287240576756,859,-0.036093755362507265,401,-0.04314554678594966,310,-0.025182374616696406,148
inversion,-0.05042700887921332,883,-0.04450073456853966,419,-0.0545944915900905,296,-0.030728280039952642,168
rotate,-0.11873060782799169,934,-0.10556850306922558,447,-0.12518498034911835,333,-0.05820005191330341,154
scramble,-0.03907212616028318,871,-0.03407928498240995,426,-0.04582325266965638,305,-0.02434977298594921,140
split,-0.024780476572375035,900,-0.023555875784537363,394,-0.02523662448670942,342,-0.014547227033530374,164
swap,-0.04671063298697092,960,-0.039190513498305234,452,-0.05273376541555945,346,-0.03103755672363225,162
