Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.5948490798914625,0.4675207952328243,0.8,0.022704788512296847,0.2,0.028463664931808887,-0.0686995121386898
2,0.5948490798914625,0.49486828571654407,0.6,0.0,0.2,0.020476494642820187,0.012867499356608442
3,0.5948490798914625,0.46774256371120204,1.0,0.0,0.0,-0.04194341717200993,5.551115123125783e-17
4,0.5948490798914625,0.4676875373465809,1.0,0.0,0.0,-0.04739144944323925,0.0
5,0.5948490798914625,0.46789993772901184,1.0,0.0,0.0,-0.05422795523261877,0.0
