Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.524582585455964,0.46790355020192903,0.6666666666666666,0.0,0.23529411764705882,-0.007272887867031639,0.0005308452228410254
2,0.6491595683658196,0.4746843184692176,0.0,0.12457698290985553,0.23529411764705882,0.019776455071621988,0.0
3,0.6491595683658196,0.48835468997106385,0.6666666666666666,0.0,0.23529411764705882,0.0030954823478978044,0.0
4,0.6491595683658196,0.4958648885811884,1.0,0.0,0.17647058823529413,-0.007275526454140698,0.018683177485080138
5,0.6491595683658196,0.48811652499366126,0.6666666666666666,0.0,0.11764705882352941,-0.029628525885494746,0.0
6,0.6491595683658196,0.49160538478987154,0.3333333333333333,0.0,0.11764705882352941,-0.006029683892368472,-0.007492472912749497
7,0.6491595683658196,0.4918338493928856,1.0,0.0,0.29411764705882354,-0.010846956792920562,0.0014129312216865086
8,0.6491595683658196,0.5021030669063291,0.6666666666666666,0.0,0.11764705882352941,-0.017359686147978018,5.551115123125783e-17
9,0.6491595683658196,0.5051789010633939,1.0,0.0,0.23529411764705882,-0.017969975150480565,0.008528055649263261
10,0.6491595683658196,0.49544018841927007,1.0,0.0,0.11764705882352941,-0.031648795668047514,-0.0309322511045791
11,0.6491595683658196,0.49954859480016023,1.0,0.0,0.11764705882352941,-0.02681516800180996,0.06078900982683155
12,0.6491595683658196,0.513258808952807,1.0,0.0,0.29411764705882354,-0.005687934094519235,-0.13951156044282337
13,0.6491595683658196,0.5007947357435062,0.6666666666666666,0.0,0.11764705882352941,-0.005585129850159527,-0.00019943254536775035
14,0.6491595683658196,0.48759208550477523,0.6666666666666666,0.0,0.17647058823529413,-0.034817387397439954,-0.0009391167811938494
15,0.6491595683658196,0.4889189091394936,1.0,0.0,0.17647058823529413,-0.006582749739493419,-0.03646746491055739
