timestamp,pattern_name,mutation_type,fitness_gain,generation,run_id
20250805_163335,rand_00YONAPXZE,split,-0.0053128891069313955,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,design_params,-0.03688963774239573,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,rotate,-0.034287236590547554,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,design_params,-0.011534620557431263,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,design_params,-0.016657192496733808,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,rotate,-0.8001198476458582,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,split,0.004704467390872047,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,rotate,-0.006664701749171775,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,rotate,-0.8001198476458582,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,scramble,-0.028152499622769556,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,design_params,-0.0042600617702445165,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,insertion,-0.0001741356754015877,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,design_params,-0.025003939030970868,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,insertion,-0.069558889483199,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,swap,-0.04459012867952594,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,swap,-0.01603726611400047,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,inversion,-0.026193945161668508,2,rand_00YONAPXZE_20250805_163335
20250805_163335,rand_00YONAPXZE,split,-0.04164087356058199,2,rand_00YONAPXZE_20250805_163335
