avg_child_fitness,avg_elite,avg_mut,avg_off,avg_rand,best_fit,delta_best,generation,mean_mutant_gain,mean_offspring_gain,mut_gain_insertion,mut_gain_rotate,mut_gain_scramble,mut_gain_swap
0.389326975353843,0.7297250435018527,0.4149854814028709,0.3586565310328865,0.06897666029354835,0.7604735237078846,0.0,1,-0.3184382169704233,-0.3778751882829002,-0.3745780078127497,-0.25758936516534847,-0.35356673400735444,-0.31136176215250233
0.41003506220453545,0.7433307865415935,0.47673902128292,0.3100544283970987,0.2098460367836847,0.7604735237078846,0.0,2,-0.26663161420366305,-0.43698310963379255,-0.3006721103252982,-0.18326745378637938,-0.2350665091245802,-0.37778806143864596
0.5165887921084792,0.7585055406599378,0.49230408647697727,0.5376174851584639,0.28769609388308987,0.7972823506788448,0.03680882697096022,3,-0.26623432865939045,-0.22240725876415182,-0.17800886839467878,-0.259964493457064,-0.29137331613842454,-0.27059847720025293
0.5384766455062128,0.7649658747674881,0.48100744016868624,0.6201407398588754,0.21520786018439217,0.7972823506788448,0.0,4,-0.28378576679228223,-0.14397069466857754,-0.3219236180399595,-0.5797224300082104,-0.14275735386164046,-0.09292978211916411
0.4830002906942126,0.7703800585292334,0.5215807278391486,0.4054639481952222,0.3514441442754085,0.7972823506788448,0.0,5,-0.24740214465955263,-0.3759694041740643,-0.761170209316072,-0.2842328645816322,-0.19303633548953936,-0.22961777433731684
0.5621194032807822,0.7857260233767006,0.5117377066425648,0.6430507902452696,0.21631402187978446,0.7972823506788448,0.0,6,-0.2710992349086,-0.14773112632611912,-0.03488293540171994,-0.23930322576655816,-0.3093264411533705,-0.3261415476666051
0.64871342720617,0.7972823506788449,0.5806719249293743,0.7708530627712193,0.28375197058048457,0.7972823506788449,1.1102230246251565e-16,7,-0.2166104257494707,-0.0264292879076257,0.0,-0.36149636452024014,-0.2330421973266969,-0.048576179780311174
0.6066876628940178,0.7972823506788449,0.5365800719365753,0.7449120722329436,0.14362570158326277,0.7976643390904197,0.00038198841157477403,8,-0.2607022787422697,-0.05237027844590134,-0.258091880444535,-0.23461341915682876,-0.19013354436829158,-0.46823670855808913
0.587861128593593,0.7973205495200025,0.4878787211775742,0.7109317261518561,0.28604894709820894,0.7976643390904198,1.1102230246251565e-16,9,-0.30942272892184947,-0.08642702220930394,-0.42139168208994243,-0.3551016632517313,-0.2806067595594348,-0.30561673227736197
0.6142112167627837,0.7975115437257899,0.5381969651410305,0.7447992553897215,0.21261574177904122,0.7976643390904198,0.0,10,-0.2593527774259167,-0.052798235728672885,-0.0359718128530242,-0.2562862065592331,-0.22021433783655525,-0.37097797494529744
0.5713296673404489,0.7976643390904198,0.44273127808678714,0.7316389735226132,0.21815132787646893,0.7976643390904198,0.0,11,-0.3549330610036325,-0.06602536556780672,-0.35450143307892745,-0.3692794383581533,-0.3553681808713042,-0.32536715660677645
0.5527341895945952,0.7976643390904198,0.44526977423528874,0.6659358102369001,0.28485521896677796,0.7976643390904198,0.0,12,-0.3523945648551308,-0.13172852885351985,-0.19154209797106636,-0.42946135764852705,-0.22335987630723508,-0.5397219493629217
0.6052044224342441,0.7976643390904198,0.5723477691160125,0.6713271481949588,0.27968021600813603,0.7976643390904198,0.0,13,-0.22531656997440744,-0.1263371908954612,-0.2512390418959601,-0.29890095928940985,-0.1063223530023907,-0.24367788084165148
