parameter,piece_id,old_path,new_path
flare-skirt.rise,skirt_back,"[[0.0, 70.92685561891031], [15.0, 0.0], [15.0, 0.0], [65.87654, 0.0], [65.87654, 0.0], [80.87654, 70.92685561891031], [80.87654, 70.92685561891031], [0.0, 70.92685561891031]]","[[0.0, 70.92685561891031], [15.0, 0.0], [15.0, 0.0], [65.87654, 0.0], [65.87654, 0.0], [80.87654, 70.92685561891031], [80.87654, 70.92685561891031], [0.0, 70.92685561891031]]"
flare-skirt.rise,skirt_front,"[[0.0, 70.92685561891031], [15.0, 0.0], [15.0, 0.0], [73.75739999999999, 0.0], [73.75739999999999, 0.0], [88.75739999999999, 70.92685561891031], [88.75739999999999, 70.92685561891031], [0.0, 70.92685561891031]]","[[0.0, 70.92685561891031], [15.0, 0.0], [15.0, 0.0], [73.75739999999999, 0.0], [73.75739999999999, 0.0], [88.75739999999999, 70.92685561891031], [88.75739999999999, 70.92685561891031], [0.0, 70.92685561891031]]"
