Generation,BestFitness,AvgChildFitness,SurvivalRate,DeltaBest,SuccessRatio,CrossoverGain,MutationGain
1,0.6047849999074074,0.48609844540229835,0.3333333333333333,0.04652192306980052,0.42857142857142855,0.019065178181746474,0.04504152971973163
2,0.6047849999074074,0.47021925782299956,1.0,0.0,0.0,-0.019952998699398133,0.0
3,0.6047849999074074,0.49057592498206154,1.0,0.0,0.2857142857142857,-0.02458998860213488,0.03846483882467633
4,0.6047849999074074,0.47573599055669896,1.0,0.0,0.0,-0.03350919339555524,0.0005872562894495004
5,0.6047849999074074,0.48996782860534305,0.6666666666666666,0.0,0.14285714285714285,-0.01998607616261153,0.0008145468999828376
6,0.6047849999074074,0.48432664782351836,1.0,0.0,0.14285714285714285,-0.038849488004636154,0.006081003668275187
7,0.6047849999074074,0.46918304483308065,1.0,0.0,0.14285714285714285,-0.027427418051134363,-0.11169347286831471
8,0.6047849999074074,0.47418332796236456,1.0,0.0,0.14285714285714285,-0.01844693108411512,0.0
9,0.6047849999074074,0.5012927402937911,0.6666666666666666,0.0,0.2857142857142857,-0.003972989306691012,0.038396473669301934
10,0.6047849999074074,0.48257579059362826,1.0,0.0,0.0,-0.056113191270755404,0.0
11,0.6047849999074074,0.4963553060491808,0.6666666666666666,0.0,0.2857142857142857,-0.024528291823899578,0.0006606463161993315
12,0.6047849999074074,0.5003870529793122,0.6666666666666666,0.0,0.14285714285714285,-0.015861668110073297,0.0007005487501575147
13,0.6047849999074074,0.49889530013429295,1.0,0.0,0.2857142857142857,-0.01126270702016571,0.014420653528307958
14,0.6047849999074074,0.5019684047290011,0.6666666666666666,0.0,0.0,-0.05356830557487742,0.0
15,0.6047849999074074,0.49796832562413945,1.0,0.0,0.0,-0.002682729937513617,-0.08592228343487525
